n_levels,seed,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,contrast_error_mean,flatline_guard_pass
1,0,40,0.09534360404233148,0.07032579709349855,0.06775874033190073,0.8125,0.09435187503695489,0.030916687473654746,True
1,1,40,0.09534360404233148,0.07032579709349855,0.06775874033190073,0.8125,0.09435187503695489,0.030916687473654746,True
1,2,40,0.09534360404233148,0.07032579709349855,0.06775874033190073,0.8125,0.09435187503695489,0.030916687473654746,True
2,0,40,0.061011789134925755,0.048140594292316555,0.048829068140015607,0.975,0.059042207151651385,0.04478783831000328,True
2,1,40,0.061011789134925755,0.048140594292316555,0.048829068140015607,0.975,0.059042207151651385,0.04478783831000328,True
2,2,40,0.061011789134925755,0.048140594292316555,0.048829068140015607,0.975,0.059042207151651385,0.04478783831000328,True
3,0,40,0.06198994694539013,0.04748947188400053,0.0455915074581121,0.95,0.06045111045241356,0.039265067875385286,True
3,1,40,0.06198994694539013,0.04748947188400053,0.0455915074581121,0.95,0.06045111045241356,0.039265067875385286,True
3,2,40,0.06198994694539013,0.04748947188400053,0.0455915074581121,0.95,0.06045111045241356,0.039265067875385286,True
4,0,40,0.05016805365188798,0.03813091995856048,0.03913683994542257,0.65,0.04579766914248466,0.045316531509161,True
4,1,40,0.05016805365188798,0.03813091995856048,0.03913683994542257,0.65,0.04579766914248466,0.045316531509161,True
4,2,40,0.05016805365188798,0.03813091995856048,0.03913683994542257,0.65,0.04579766914248466,0.045316531509161,True
5,0,40,0.05136574644611321,0.03731646127224146,0.036853500742673385,0.6375,0.046746150404214856,0.03476495407521725,True
5,1,40,0.05136574644611321,0.03731646127224146,0.036853500742673385,0.6375,0.046746150404214856,0.03476495407521725,True
5,2,40,0.05136574644611321,0.03731646127224146,0.036853500742673385,0.6375,0.046746150404214856,0.03476495407521725,True
6,0,40,0.049949597443258685,0.035994360852848024,0.03578800814201767,0.6375,0.04542435184121132,0.040670442208647725,True
6,1,40,0.049949597443258685,0.035994360852848024,0.03578800814201767,0.6375,0.04542435184121132,0.040670442208647725,True
6,2,40,0.049949597443258685,0.035994360852848024,0.03578800814201767,0.6375,0.04542435184121132,0.040670442208647725,True
7,0,40,0.04908139672682612,0.03551475522157507,0.03560061816856279,0.6375,0.044515132904052734,0.04299761205911636,True
7,1,40,0.04908139672682612,0.03551475522157507,0.03560061816856279,0.6375,0.044515132904052734,0.04299761205911636,True
7,2,40,0.04908139672682612,0.03551475522157507,0.03560061816856279,0.6375,0.044515132904052734,0.04299761205911636,True
8,0,40,0.049481575988273935,0.0372475249720063,0.0368525805037848,0.65,0.043808025866746904,0.051952825859189034,True
8,1,40,0.049481575988273935,0.0372475249720063,0.0368525805037848,0.65,0.043808025866746904,0.051952825859189034,True
8,2,40,0.049481575988273935,0.0372475249720063,0.0368525805037848,0.65,0.043808025866746904,0.051952825859189034,True
