n_levels,seed,vr_class,curve_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,flatline_guard_pass
1,0,0.0,1,0.09868737127439871,0.06629990628144074,0.056400452819389005,True
1,0,4.0,1,0.0753572394334092,0.058331961398643155,0.05822265063307715,True
1,0,6.0,1,0.09927103009887712,0.07035307375656251,0.0745199680798192,True
1,0,8.0,1,0.09950964628010008,0.07927782281067935,0.08145590368936825,True
1,0,10.0,1,0.1038197757718125,0.07685957528577683,0.06592978703029623,True
1,1,0.0,1,0.09868737127439871,0.06629990628144074,0.056400452819389005,True
1,1,4.0,1,0.0753572394334092,0.058331961398643155,0.05822265063307715,True
1,1,6.0,1,0.09927103009887712,0.07035307375656251,0.0745199680798192,True
1,1,8.0,1,0.09950964628010008,0.07927782281067935,0.08145590368936825,True
1,1,10.0,1,0.1038197757718125,0.07685957528577683,0.06592978703029623,True
1,2,0.0,1,0.09868737127439871,0.06629990628144074,0.056400452819389005,True
1,2,4.0,1,0.0753572394334092,0.058331961398643155,0.05822265063307715,True
1,2,6.0,1,0.09927103009887712,0.07035307375656251,0.0745199680798192,True
1,2,8.0,1,0.09950964628010008,0.07927782281067935,0.08145590368936825,True
1,2,10.0,1,0.1038197757718125,0.07685957528577683,0.06592978703029623,True
2,0,0.0,1,0.0731722455620787,0.05056269564821064,0.034820775220369186,True
2,0,4.0,1,0.04979470827653486,0.03914337539625886,0.04355661666992275,True
2,0,6.0,1,0.05876970150172453,0.047400522817694836,0.053262161948336315,True
2,0,8.0,1,0.05475510386455494,0.049302741911550305,0.06166459993035122,True
2,0,10.0,1,0.07036750447728005,0.05468890729168262,0.04853601359010269,True
2,1,0.0,1,0.0731722455620787,0.05056269564821064,0.034820775220369186,True
2,1,4.0,1,0.04979470827653486,0.03914337539625886,0.04355661666992275,True
2,1,6.0,1,0.05876970150172453,0.047400522817694836,0.053262161948336315,True
2,1,8.0,1,0.05475510386455494,0.049302741911550305,0.06166459993035122,True
2,1,10.0,1,0.07036750447728005,0.05468890729168262,0.04853601359010269,True
2,2,0.0,1,0.0731722455620787,0.05056269564821064,0.034820775220369186,True
2,2,4.0,1,0.04979470827653486,0.03914337539625886,0.04355661666992275,True
2,2,6.0,1,0.05876970150172453,0.047400522817694836,0.053262161948336315,True
2,2,8.0,1,0.05475510386455494,0.049302741911550305,0.06166459993035122,True
2,2,10.0,1,0.07036750447728005,0.05468890729168262,0.04853601359010269,True
3,0,0.0,1,0.07420158973639028,0.04899342978070685,0.031830338714243164,True
3,0,4.0,1,0.050632094055998264,0.03903727716864104,0.04316130708938171,True
3,0,6.0,1,0.05963771005277886,0.04686000940512311,0.05135353690359066,True
3,0,8.0,1,0.05643402197781508,0.0480169337048591,0.055541696314049975,True
3,0,10.0,1,0.07086480386441961,0.05480638690762052,0.04363025849562656,True
3,1,0.0,1,0.07420158973639028,0.04899342978070685,0.031830338714243164,True
3,1,4.0,1,0.050632094055998264,0.03903727716864104,0.04316130708938171,True
3,1,6.0,1,0.05963771005277886,0.04686000940512311,0.05135353690359066,True
3,1,8.0,1,0.05643402197781508,0.0480169337048591,0.055541696314049975,True
3,1,10.0,1,0.07086480386441961,0.05480638690762052,0.04363025849562656,True
3,2,0.0,1,0.07420158973639028,0.04899342978070685,0.031830338714243164,True
3,2,4.0,1,0.050632094055998264,0.03903727716864104,0.04316130708938171,True
3,2,6.0,1,0.05963771005277886,0.04686000940512311,0.05135353690359066,True
3,2,8.0,1,0.05643402197781508,0.0480169337048591,0.055541696314049975,True
3,2,10.0,1,0.07086480386441961,0.05480638690762052,0.04363025849562656,True
4,0,0.0,1,0.0593019600483415,0.04615182190452421,0.031223782770676674,True
4,0,4.0,1,0.03735948486478447,0.0320145744180832,0.03560014699963063,True
4,0,6.0,1,0.047123473994895,0.03665659422776497,0.04360865715922768,True
4,0,8.0,1,0.04166567847799799,0.034288220364726965,0.04832185828927345,True
4,0,10.0,1,0.06691198163010174,0.042730292337297957,0.03538164520973559,True
4,1,0.0,1,0.0593019600483415,0.04615182190452421,0.031223782770676674,True
4,1,4.0,1,0.03735948486478447,0.0320145744180832,0.03560014699963063,True
4,1,6.0,1,0.047123473994895,0.03665659422776497,0.04360865715922768,True
4,1,8.0,1,0.04166567847799799,0.034288220364726965,0.04832185828927345,True
4,1,10.0,1,0.06691198163010174,0.042730292337297957,0.03538164520973559,True
4,2,0.0,1,0.0593019600483415,0.04615182190452421,0.031223782770676674,True
4,2,4.0,1,0.03735948486478447,0.0320145744180832,0.03560014699963063,True
4,2,6.0,1,0.047123473994895,0.03665659422776497,0.04360865715922768,True
4,2,8.0,1,0.04166567847799799,0.034288220364726965,0.04832185828927345,True
4,2,10.0,1,0.06691198163010174,0.042730292337297957,0.03538164520973559,True
5,0,0.0,1,0.06593588693217786,0.045475315232878954,0.030683660884012386,True
5,0,4.0,1,0.038898583799992364,0.031134562732584935,0.035129944318492354,True
5,0,6.0,1,0.048297845549907514,0.03570960727852358,0.04134112908068678,True
5,0,8.0,1,0.04100675132326563,0.03238461536391911,0.044360164094296065,True
5,0,10.0,1,0.06489441979800649,0.043098919247595145,0.03142042181129504,True
5,1,0.0,1,0.06593588693217786,0.045475315232878954,0.030683660884012386,True
5,1,4.0,1,0.038898583799992364,0.031134562732584935,0.035129944318492354,True
5,1,6.0,1,0.048297845549907514,0.03570960727852358,0.04134112908068678,True
5,1,8.0,1,0.04100675132326563,0.03238461536391911,0.044360164094296065,True
5,1,10.0,1,0.06489441979800649,0.043098919247595145,0.03142042181129504,True
5,2,0.0,1,0.06593588693217786,0.045475315232878954,0.030683660884012386,True
5,2,4.0,1,0.038898583799992364,0.031134562732584935,0.035129944318492354,True
5,2,6.0,1,0.048297845549907514,0.03570960727852358,0.04134112908068678,True
5,2,8.0,1,0.04100675132326563,0.03238461536391911,0.044360164094296065,True
5,2,10.0,1,0.06489441979800649,0.043098919247595145,0.03142042181129504,True
6,0,0.0,1,0.0660286491273656,0.045826084609944626,0.030641643595353128,True
6,0,4.0,1,0.03696914489728679,0.029484535841671676,0.03318103265234806,True
6,0,6.0,1,0.04670196934891059,0.03356499041113783,0.0397111395086613,True
6,0,8.0,1,0.03846637859841941,0.03009466313174124,0.0429625351854514,True
6,0,10.0,1,0.0639976802166179,0.042534167044595596,0.03131000277911093,True
6,1,0.0,1,0.0660286491273656,0.045826084609944626,0.030641643595353128,True
6,1,4.0,1,0.03696914489728679,0.029484535841671676,0.03318103265234806,True
6,1,6.0,1,0.04670196934891059,0.03356499041113783,0.0397111395086613,True
6,1,8.0,1,0.03846637859841941,0.03009466313174124,0.0429625351854514,True
6,1,10.0,1,0.0639976802166179,0.042534167044595596,0.03131000277911093,True
6,2,0.0,1,0.0660286491273656,0.045826084609944626,0.030641643595353128,True
6,2,4.0,1,0.03696914489728679,0.029484535841671676,0.03318103265234806,True
6,2,6.0,1,0.04670196934891059,0.03356499041113783,0.0397111395086613,True
6,2,8.0,1,0.03846637859841941,0.03009466313174124,0.0429625351854514,True
6,2,10.0,1,0.0639976802166179,0.042534167044595596,0.03131000277911093,True
7,0,0.0,1,0.06631459959493062,0.045573197986034146,0.03060129218311176,True
7,0,4.0,1,0.036051650980914535,0.029159719364432,0.03254979625061889,True
7,0,6.0,1,0.045775560515487035,0.032956023540895135,0.03933935319573452,True
7,0,8.0,1,0.03685459795185882,0.02924841402479123,0.04269057272592264,True
7,0,10.0,1,0.06297795447587003,0.042213567997365226,0.031729818860848275,True
7,1,0.0,1,0.06631459959493062,0.045573197986034146,0.03060129218311176,True
7,1,4.0,1,0.036051650980914535,0.029159719364432,0.03254979625061889,True
7,1,6.0,1,0.045775560515487035,0.032956023540895135,0.03933935319573452,True
7,1,8.0,1,0.03685459795185882,0.02924841402479123,0.04269057272592264,True
7,1,10.0,1,0.06297795447587003,0.042213567997365226,0.031729818860848275,True
7,2,0.0,1,0.06631459959493062,0.045573197986034146,0.03060129218311176,True
7,2,4.0,1,0.036051650980914535,0.029159719364432,0.03254979625061889,True
7,2,6.0,1,0.045775560515487035,0.032956023540895135,0.03933935319573452,True
7,2,8.0,1,0.03685459795185882,0.02924841402479123,0.04269057272592264,True
7,2,10.0,1,0.06297795447587003,0.042213567997365226,0.031729818860848275,True
8,0,0.0,1,0.059806210434051175,0.04583032627734276,0.02955536418608439,True
8,0,4.0,1,0.03617888784752678,0.03138772995766021,0.03495873448511504,True
8,0,6.0,1,0.04581553367475294,0.034841407028687585,0.041986587513156357,True
8,0,8.0,1,0.039510094433180265,0.03194712398028497,0.04541249385152847,True
8,0,10.0,1,0.0678459881467708,0.04360465252213787,0.03079581956715577,True
8,1,0.0,1,0.059806210434051175,0.04583032627734276,0.02955536418608439,True
8,1,4.0,1,0.03617888784752678,0.03138772995766021,0.03495873448511504,True
8,1,6.0,1,0.04581553367475294,0.034841407028687585,0.041986587513156357,True
8,1,8.0,1,0.039510094433180265,0.03194712398028497,0.04541249385152847,True
8,1,10.0,1,0.0678459881467708,0.04360465252213787,0.03079581956715577,True
8,2,0.0,1,0.059806210434051175,0.04583032627734276,0.02955536418608439,True
8,2,4.0,1,0.03617888784752678,0.03138772995766021,0.03495873448511504,True
8,2,6.0,1,0.04581553367475294,0.034841407028687585,0.041986587513156357,True
8,2,8.0,1,0.039510094433180265,0.03194712398028497,0.04541249385152847,True
8,2,10.0,1,0.0678459881467708,0.04360465252213787,0.03079581956715577,True
