n_levels,weights,min_weight,max_weight,top1_mass,top2_mass,hhi,effective_n_inverse_hhi,entropy,entropy_effective_n,normalized_entropy,low_weight_threshold,concentration_threshold,low_weight_count,channel_degeneracy_status,channel_degeneracy_reasons,energy_cluster_status,cluster_count,clustered_level_indices,cluster_centers_eV,cluster_spans_eV,cluster_weight_mass,clustered_level_count,effective_distinct_level_count,cluster_tolerance_eV
1,[1.0],1.0,1.0,1.0,1.0,1.0,1.0,-1.000088900581841e-12,0.9999999999989999,-1.4428232973175177e-12,0.35,0.78,0,degenerate,['top_heavy'],separated,0,[],[],[],[],0,1,0.02
2,"[0.5318083446140084, 0.4681916553859916]",0.4681916553859916,0.5318083446140084,0.5318083446140084,1.0,0.5020235415741671,1.991938459428329,0.691122271862585,1.995954280094365,0.9970786742640654,0.175,0.78,0,balanced,[],separated,0,[],[],[],[],0,2,0.02
3,"[0.2615332369625655, 0.5014726667279601, 0.23699409630947443]",0.23699409630947443,0.5014726667279601,0.5014726667279601,0.7630059036905256,0.3760406711969136,2.659286818144068,1.0380914661686858,2.8238225074005077,0.9449115733333042,0.11666666666666665,0.8,0,balanced,[],separated,0,[],[],[],[],0,3,0.02
4,"[0.36822196566893184, 0.41020038418322513, 0.08408348944721006, 0.13749416070063292]",0.08408348944721006,0.41020038418322513,0.41020038418322513,0.778422349852157,0.329826448609548,3.0318975455598176,1.2144111548102257,3.3683100670646544,0.876012475322476,0.0875,0.85,1,degenerate,['low_weight'],separated,0,[],[],[],[],0,4,0.02
5,"[0.1944647907385944, 0.4667289028574363, 0.11532281511012935, 0.08157517137490468, 0.1419083199189353]",0.08157517137490468,0.4667289028574363,0.4667289028574363,0.6611936935960308,0.29574425513149655,3.3812998313538527,1.4047197138118932,4.074384587485131,0.8728014314559094,0.06999999999999999,0.88,0,balanced,[],separated,0,[],[],[],[],0,5,0.02
6,"[0.14112520323041977, 0.5122903027556114, 0.09452110599369634, 0.08013145685293865, 0.08630602871109566, 0.08562590245623813]",0.08013145685293865,0.5122903027556114,0.5122903027556114,0.6534155059860312,0.3124934929032349,3.200066634058376,1.4661043179874889,4.332324863873193,0.8182483995014864,0.05833333333333333,0.9,0,balanced,[],separated,0,[],[],[],[],0,6,0.02
7,"[0.09690080307316198, 0.5515572695815731, 0.07710025832915067, 0.07063652917100072, 0.06502421515179722, 0.0856824707756643, 0.053098453917652]",0.053098453917652,0.5515572695815731,0.5515572695815731,0.6484580726547351,0.33892823651502607,2.950477098875962,1.4832553493663394,4.407269555816504,0.7622424653504273,0.049999999999999996,0.9142857142857143,0,balanced,[],separated,0,[],[],[],[],0,7,0.02
8,"[0.050529512378658825, 0.48947288492010044, 0.1933259175719488, 0.04250700304269039, 0.054694953083359754, 0.05956473813433785, 0.06997827284086632, 0.03992671802803759]",0.03992671802803759,0.48947288492010044,0.48947288492010044,0.6827988024920493,0.29434928981002245,3.3973243171247853,1.5941420709876621,4.924102728836296,0.7666202867621208,0.04375,0.925,2,degenerate,['low_weight'],separated,0,[],[],[],[],0,8,0.02
