n_levels,composite_rank_score,rmse_rank,cv_rank,d1_rank,d2_rank,structure_rank,physical_rank,bic_rank,aic_rank,degeneracy_penalty,rmse_mean,cv_rmse_mean,d1_rmse_mean,d2_rmse_mean,structure_score,vr_physical_response_score,bic,aic,channel_degeneracy_status,channel_degeneracy_reasons,energy_cluster_status,effective_distinct_level_count
1,63.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,0.11053280979394912,0.11053280979394912,0.06206448748707771,0.05743073672056198,0.10373135855831936,0.7946930680333114,-3276.665196487713,-3459.6080453070367,degenerate,['top_heavy'],separated,1
2,42.5,5.0,5.0,6.0,7.0,6.0,6.0,4.0,4.0,0.0,0.07953361347317696,0.07953361347317696,0.04462374448776245,0.044250454753637314,0.06680242992695772,0.5711129586386487,-3753.0185706231705,-3945.3431039973316,balanced,[],separated,2
3,50.25,7.0,7.0,7.0,6.0,7.0,7.0,5.0,5.0,0.0,0.0803103543817997,0.0803103543817997,0.04475491717457771,0.0424697034060955,0.06765072428295242,0.5769516261127906,-3728.4253172972326,-3930.131535226231,balanced,[],separated,3
4,37.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,1.0,0.07916414886713027,0.07916414886713027,0.04030292481184006,0.03726870641112327,0.05476388244665248,0.4610366283393488,-3714.8752152671063,-3925.963117750942,degenerate,['low_weight'],separated,4
5,24.75,3.0,3.0,4.0,4.0,5.0,2.0,1.0,3.0,0.0,0.07681016996502876,0.07681016996502876,0.040242084115743634,0.036591780930757524,0.055834462588190824,0.34266888368420484,-3763.7355785313966,-3984.2051655700693,balanced,[],separated,5
6,17.75,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.07642268761992455,0.07642268761992455,0.039230228215456006,0.035567674413323404,0.054264793691383845,0.3456835448741913,-3756.129582224453,-3985.9808538179623,balanced,[],separated,6
7,9.75,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.07575039342045783,0.07575039342045783,0.038510110974311826,0.03502247184514999,0.053344884612354884,0.2967732926694358,-3755.6312350645485,-3994.864191212895,balanced,[],separated,7
8,37.0,6.0,6.0,3.0,3.0,2.0,5.0,7.0,7.0,1.0,0.07961174324154854,0.07961174324154854,0.03971381038427353,0.035772568359971044,0.05394338009555026,0.507945413511943,-3656.1802653333643,-3904.794906036548,degenerate,['low_weight'],separated,8
