n_levels,seed,curve_id,vr_class,late_va_min,late_bias_fit_minus_target,late_target_range,late_pred_range,late_valley_count,late_valley_lift_mean,is_high_vr
1,0,1,0.0,60.0,-0.02849697775957061,0.6150000095367432,0.9668856859207153,1,0.12632393836975098,False
1,0,2,4.0,60.0,-0.016365167571277154,1.0489999055862427,1.096577763557434,1,0.10474228858947754,False
1,0,3,6.0,60.0,-0.010516346954717868,1.439000129699707,1.3161554336547852,1,0.1747751235961914,False
1,0,4,8.0,60.0,-0.021127183262894794,1.5730000138282776,1.4225643873214722,1,0.15652996301651,True
1,0,5,10.0,60.0,-0.001402050983615038,1.5959999561309814,1.4905371963977814,1,0.10640674829483032,True
1,1,1,0.0,60.0,-0.02849697775957061,0.6150000095367432,0.9668856859207153,1,0.12632393836975098,False
1,1,2,4.0,60.0,-0.016365167571277154,1.0489999055862427,1.096577763557434,1,0.10474228858947754,False
1,1,3,6.0,60.0,-0.010516346954717868,1.439000129699707,1.3161554336547852,1,0.1747751235961914,False
1,1,4,8.0,60.0,-0.021127183262894794,1.5730000138282776,1.4225643873214722,1,0.15652996301651,True
1,1,5,10.0,60.0,-0.001402050983615038,1.5959999561309814,1.4905371963977814,1,0.10640674829483032,True
1,2,1,0.0,60.0,-0.02849697775957061,0.6150000095367432,0.9668856859207153,1,0.12632393836975098,False
1,2,2,4.0,60.0,-0.016365167571277154,1.0489999055862427,1.096577763557434,1,0.10474228858947754,False
1,2,3,6.0,60.0,-0.010516346954717868,1.439000129699707,1.3161554336547852,1,0.1747751235961914,False
1,2,4,8.0,60.0,-0.021127183262894794,1.5730000138282776,1.4225643873214722,1,0.15652996301651,True
1,2,5,10.0,60.0,-0.001402050983615038,1.5959999561309814,1.4905371963977814,1,0.10640674829483032,True
2,0,1,0.0,60.0,-0.023199494292096393,0.6150000095367432,0.9344310760498047,1,0.1119992733001709,False
2,0,2,4.0,60.0,-0.010122002624883884,1.0489999055862427,1.0721715688705444,1,0.09328639507293701,False
2,0,3,6.0,60.0,-0.006059190122092642,1.439000129699707,1.3124301433563232,1,0.1457275152206421,False
2,0,4,8.0,60.0,-0.016997568491028577,1.5730000138282776,1.439849615097046,1,0.10922771692276001,True
2,0,5,10.0,60.0,-0.002312242257885817,1.5959999561309814,1.4849117994308472,1,0.08187085390090942,True
2,1,1,0.0,60.0,-0.023199494292096393,0.6150000095367432,0.9344310760498047,1,0.1119992733001709,False
2,1,2,4.0,60.0,-0.010122002624883884,1.0489999055862427,1.0721715688705444,1,0.09328639507293701,False
2,1,3,6.0,60.0,-0.006059190122092642,1.439000129699707,1.3124301433563232,1,0.1457275152206421,False
2,1,4,8.0,60.0,-0.016997568491028577,1.5730000138282776,1.439849615097046,1,0.10922771692276001,True
2,1,5,10.0,60.0,-0.002312242257885817,1.5959999561309814,1.4849117994308472,1,0.08187085390090942,True
2,2,1,0.0,60.0,-0.023199494292096393,0.6150000095367432,0.9344310760498047,1,0.1119992733001709,False
2,2,2,4.0,60.0,-0.010122002624883884,1.0489999055862427,1.0721715688705444,1,0.09328639507293701,False
2,2,3,6.0,60.0,-0.006059190122092642,1.439000129699707,1.3124301433563232,1,0.1457275152206421,False
2,2,4,8.0,60.0,-0.016997568491028577,1.5730000138282776,1.439849615097046,1,0.10922771692276001,True
2,2,5,10.0,60.0,-0.002312242257885817,1.5959999561309814,1.4849117994308472,1,0.08187085390090942,True
3,0,1,0.0,60.0,-0.017575368648622094,0.6150000095367432,0.932605504989624,1,0.11484837532043457,False
3,0,2,4.0,60.0,-0.008161312196312881,1.0489999055862427,1.077087640762329,1,0.10086190700531006,False
3,0,3,6.0,60.0,-0.007724567157466237,1.439000129699707,1.3158020973205566,1,0.1537647247314453,False
3,0,4,8.0,60.0,-0.019094600910093726,1.5730000138282776,1.458319902420044,1,0.11555486917495728,True
3,0,5,10.0,60.0,-0.007058480163899864,1.5959999561309814,1.4825090765953064,1,0.09524863958358765,True
3,1,1,0.0,60.0,-0.017575368648622094,0.6150000095367432,0.932605504989624,1,0.11484837532043457,False
3,1,2,4.0,60.0,-0.008161312196312881,1.0489999055862427,1.077087640762329,1,0.10086190700531006,False
3,1,3,6.0,60.0,-0.007724567157466237,1.439000129699707,1.3158020973205566,1,0.1537647247314453,False
3,1,4,8.0,60.0,-0.019094600910093726,1.5730000138282776,1.458319902420044,1,0.11555486917495728,True
3,1,5,10.0,60.0,-0.007058480163899864,1.5959999561309814,1.4825090765953064,1,0.09524863958358765,True
3,2,1,0.0,60.0,-0.017575368648622094,0.6150000095367432,0.932605504989624,1,0.11484837532043457,False
3,2,2,4.0,60.0,-0.008161312196312881,1.0489999055862427,1.077087640762329,1,0.10086190700531006,False
3,2,3,6.0,60.0,-0.007724567157466237,1.439000129699707,1.3158020973205566,1,0.1537647247314453,False
3,2,4,8.0,60.0,-0.019094600910093726,1.5730000138282776,1.458319902420044,1,0.11555486917495728,True
3,2,5,10.0,60.0,-0.007058480163899864,1.5959999561309814,1.4825090765953064,1,0.09524863958358765,True
4,0,1,0.0,60.0,-0.037153197497856325,0.6150000095367432,0.9079418182373047,1,0.10983490943908691,False
4,0,2,4.0,60.0,-0.005739040491057605,1.0489999055862427,1.058566689491272,1,0.06434190273284912,False
4,0,3,6.0,60.0,0.001605516526757217,1.439000129699707,1.3149747848510742,1,0.10271406173706055,False
4,0,4,8.0,60.0,-0.0024975654555530083,1.5730000138282776,1.4502965807914734,1,0.06606495380401611,True
4,0,5,10.0,60.0,-0.006930370156357928,1.5959999561309814,1.522783786058426,1,0.0003585219383239746,True
4,1,1,0.0,60.0,-0.037153197497856325,0.6150000095367432,0.9079418182373047,1,0.10983490943908691,False
4,1,2,4.0,60.0,-0.005739040491057605,1.0489999055862427,1.058566689491272,1,0.06434190273284912,False
4,1,3,6.0,60.0,0.001605516526757217,1.439000129699707,1.3149747848510742,1,0.10271406173706055,False
4,1,4,8.0,60.0,-0.0024975654555530083,1.5730000138282776,1.4502965807914734,1,0.06606495380401611,True
4,1,5,10.0,60.0,-0.006930370156357928,1.5959999561309814,1.522783786058426,1,0.0003585219383239746,True
4,2,1,0.0,60.0,-0.037153197497856325,0.6150000095367432,0.9079418182373047,1,0.10983490943908691,False
4,2,2,4.0,60.0,-0.005739040491057605,1.0489999055862427,1.058566689491272,1,0.06434190273284912,False
4,2,3,6.0,60.0,0.001605516526757217,1.439000129699707,1.3149747848510742,1,0.10271406173706055,False
4,2,4,8.0,60.0,-0.0024975654555530083,1.5730000138282776,1.4502965807914734,1,0.06606495380401611,True
4,2,5,10.0,60.0,-0.006930370156357928,1.5959999561309814,1.522783786058426,1,0.0003585219383239746,True
5,0,1,0.0,60.0,-0.016526041961297755,0.6150000095367432,0.9186441898345947,1,0.12880825996398926,False
5,0,2,4.0,60.0,-0.002536919058823004,1.0489999055862427,1.054887294769287,1,0.07396626472473145,False
5,0,3,6.0,60.0,-0.0003311488686538324,1.439000129699707,1.3137084245681763,1,0.10776472091674805,False
5,0,4,8.0,60.0,-0.007311075198941115,1.5730000138282776,1.4568108320236206,1,0.062409281730651855,True
