n_levels,seed,weights,min_weight,max_weight,top1_mass,top2_mass,tail_mass_excluding_top1,hhi,effective_n_inverse_hhi,entropy,entropy_effective_n,normalized_entropy,low_weight_threshold,concentration_threshold,low_weight_count,extra_weight_mass_beyond_k4,max_extra_level_weight,n_extra_levels_under_threshold,concentration_status
1,0,[1.0],1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.000088900581841e-12,0.9999999999989999,-1.4428232973175177e-12,0.35,0.78,0,0.0,0.0,0,top_heavy
2,0,"[0.5435362186155449, 0.45646378138445504]",0.45646378138445504,0.5435362186155449,0.5435362186155449,1.0,0.4564637813844551,0.503790804662681,1.9849508779136245,0.6893515712427547,1.992423169805652,0.9945240932609372,0.175,0.78,0,0.0,0.0,0,balanced
3,0,"[0.26557244057532137, 0.49937518683263005, 0.23505237259204861]",0.23505237259204861,0.49937518683263005,0.49937518683263005,0.7649476274079514,0.50062481316737,0.375153916278408,2.6655725999615667,1.0392221884064985,2.8270172721606563,0.9459408010685806,0.11666666666666665,0.8,0,0.0,0.0,0,balanced
4,0,"[0.3549111002357475, 0.39248026350616033, 0.0847841233500178, 0.16782451290807432]",0.0847841233500178,0.39248026350616033,0.39248026350616033,0.7473913637419078,0.6075197364938396,0.3153560610174773,3.171018805770088,1.2434793508587159,3.4676576973436717,0.8969807464658484,0.0875,0.85,1,0.0,0.0,0,balanced
5,0,"[0.17633153017630462, 0.4636637944358817, 0.12946489496548902, 0.07119160840009059, 0.15934817202223406]",0.07119160840009059,0.4636637944358817,0.4636637944358817,0.6399953246121863,0.5363362055641183,0.293298166866841,3.4094996592801943,1.4078290878619493,4.087073089618118,0.8747333941778223,0.06999999999999999,0.88,0,0.15934817202223406,0.15934817202223406,0,balanced
6,0,"[0.14091483283470693, 0.48876016172618275, 0.11295039627516255, 0.05768845445247198, 0.05739348595565132, 0.14229266875582444]",0.05739348595565132,0.48876016172618275,0.48876016172618275,0.6310528304820072,0.5112398382738172,0.2983704514110652,3.351538315107146,1.4783952511217253,4.385901759639004,0.8251080998939346,0.05833333333333333,0.9,2,0.19968615471147577,0.14229266875582444,1,extra_level_degenerate
7,0,"[0.10375993389606673, 0.5168186272138766, 0.10409561234427654, 0.049566863490138544, 0.052486373410034974, 0.058162255341939466, 0.11511033430366711]",0.049566863490138544,0.5168186272138766,0.5168186272138766,0.6319289615175437,0.4831813727861234,0.3105484441866327,3.220109515019893,1.5296347384894453,4.616490288089427,0.786076756540913,0.049999999999999996,0.9142857142857143,1,0.22575896305564155,0.11511033430366711,0,balanced
8,0,"[0.03810022086573817, 0.11483786059009682, 0.5152326996061228, 0.07835357739113755, 0.046699114041848074, 0.04636554785057138, 0.06375746651491425, 0.09665351313957092]",0.03810022086573817,0.5152326996061228,0.5152326996061228,0.6300705601962197,0.48476730039387717,0.30398086630672944,3.2896807359939495,1.6010600303268578,4.95828557273126,0.7699471219726971,0.04375,0.925,1,0.2534756415469046,0.09665351313957092,0,balanced
