n_levels,seed,rmse_mean,mae_mean,d1_rmse_mean,d2_rmse_mean,aic,bic,structure_score,vr_physical_response_score,vr_late_bias_pass,high_vr_valley_depth_pass,flatline_guard_pass,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,structure_segment_count,n_params,sse_total,n_points,energy_cluster_status,cluster_count,effective_distinct_level_count,channel_degeneracy_status,channel_degeneracy_reasons,scorecard_path,V_exc,V_exc_weighted,effective_excitation_mean,effective_excitation_std,damping,osc_amp,phase,forward_reverse_status,level_energy_01,seed_count,rmse_seed_mean,rmse_seed_std,rmse_seed_iqr,cv_rmse_mean,level_energy_02,level_energy_03,level_energy_04,level_energy_05,level_energy_06,level_energy_07,level_energy_08
1,0,0.08177859615534544,0.06494005490094423,0.046881942078471184,0.0506536066532135,-3107.2276521851877,-2946.390498045431,0.07078602134272065,0.7069734259834135,True,False,True,0.06445741674331898,0.052124692827645126,0.05580676583185776,31,36,4.622842729091644,644,separated,0,1,degenerate,['top_heavy'],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L01/seeds/seed_000/full/scorecard.json,11.697979927062988,11.697979927062988,11.697979927062988,0.0,0.004439434967935085,0.4694995880126953,-1.450355052947998,consistent,11.697979927062988,3,0.08177859615534544,0.0,0.0,0.08177859615534544,,,,,,,
2,0,0.08241280354559422,0.06541994400322437,0.0457844790071249,0.04583952762186527,-3101.239523247618,-2931.4669716556523,0.06983023542229491,0.6583357862825316,True,False,True,0.063846990749223,0.04970504032123296,0.050637032047431016,31,38,4.637136220932007,644,separated,0,2,balanced,[],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L02/seeds/seed_000/full/scorecard.json,11.558752059936523,11.678936074399928,11.678936074399928,0.13114758312601368,0.0038886871188879013,0.47757598757743835,-1.4841537475585938,consistent,11.558752059936523,3,0.08241280354559422,0.0,0.0,0.08241280354559422,11.822047233581543,,,,,,
3,0,0.08318622782826424,0.06590440589934587,0.04567227605730295,0.04336490947753191,-3089.2317267404264,-2910.523777696252,0.07044305094049305,0.6594426251523864,True,False,True,0.0646746038305189,0.04848578120268303,0.04599344948529272,31,40,4.695156514644623,644,separated,0,3,balanced,[],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L03/seeds/seed_000/full/scorecard.json,11.441872596740723,11.671644075289535,11.671644075289535,0.16656474448187242,0.0036914243828505278,0.4816571772098541,-1.5052070617675781,consistent,11.441872596740723,3,0.08318622782826424,0.0,0.0,0.08318622782826424,11.680262565612793,11.912941932678223,,,,,
4,0,0.07912996970117092,0.05999869666993618,0.04037688672542572,0.037261128425598145,-3136.666510013311,-2949.023163516928,0.05767706374842517,0.4126790299163602,True,True,True,0.05313293889677137,0.037669249429909214,0.03885999543314403,31,42,4.334749281406403,644,separated,0,4,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,11.48236083984375,12.0899626917288,12.0899626917288,0.8937425057414132,0.005181551445275545,0.6057876348495483,-1.866612434387207,consistent,11.48236083984375,3,0.07912996970117092,0.0,0.0,0.07912996970117092,11.726114273071289,12.592592239379883,13.971882820129395,,,,
5,0,0.0794314881786704,0.06025736499577761,0.04070842359215021,0.037077248096466064,-3130.4555790447157,-2933.876835096124,0.058013594501757255,0.44230183934777734,True,True,True,0.05350568625478047,0.03762053079349064,0.0372927583813861,31,44,4.349656581878662,644,separated,0,5,balanced,[],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,11.397599220275879,12.099730371541497,12.099730371541497,0.8995502289091081,0.005040580406785011,0.6071975231170654,-1.8111743927001953,consistent,11.397599220275879,3,0.0794314881786704,0.0,0.0,0.0794314881786704,11.64130687713623,11.94946575164795,12.802791595458984,14.01856517791748,,,
6,0,0.07960396446287632,0.06039678491652012,0.04043722432106733,0.03616875968873501,-3125.430682857227,-2919.916541456427,0.05841978024346371,0.4596236966005186,True,True,True,0.053925683014400226,0.03750561011851145,0.03717681086061703,31,46,4.356584370136261,644,separated,0,6,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L06/seeds/seed_000/full/scorecard.json,11.401167869567871,12.14087468309576,12.14087468309576,0.9106455855525527,0.004898767452687025,0.6131852865219116,-1.7008576393127441,consistent,11.401167869567871,3,0.07960396446287632,0.0,0.0,0.07960396446287632,11.651488304138184,11.930631637573242,12.565698623657227,13.229753494262695,14.109870910644531,,
7,0,0.07949986308813095,0.06032103672623634,0.04005569964647293,0.035474784672260284,-3122.506024289216,-2908.056485436207,0.05797538706002176,0.45927569391281625,True,True,True,0.05352195199413767,0.03709497753573372,0.037196865615536055,31,48,4.349315881729126,644,separated,0,7,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L07/seeds/seed_000/full/scorecard.json,11.381020545959473,12.16557707340121,12.16557707340121,0.9256430298506851,0.004826557822525501,0.6164225339889526,-1.6702079772949219,consistent,11.381020545959473,3,0.07949986308813095,0.0,0.0,0.07949986308813095,11.64616584777832,11.909613609313965,12.429288864135742,12.965839385986328,13.629128456115723,14.218334197998047,
8,0,0.07965734135359526,0.060541367158293724,0.04027135390788317,0.036390154622495174,-3116.591983020653,-2893.2070467154354,0.058072153304816944,0.47114916812113633,True,True,True,0.05358454217255832,0.03745222620308683,0.03711942559749684,31,50,4.362261772155762,644,separated,0,8,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_6p0/fullscan/levels/L08/seeds/seed_000/full/scorecard.json,11.111671447753906,12.133548977378151,12.133548977378151,0.9315979989180246,0.004749242216348648,0.6138718724250793,-1.7478547096252441,consistent,11.111671447753906,3,0.07965734135359526,0.0,0.0,0.07965734135359526,11.454675674438477,11.659509658813477,11.969022750854492,12.557671546936035,13.10994815826416,13.757763862609863,14.25857925415039

