n_levels,seed,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,contrast_error_mean,flatline_guard_pass
1,0,32,0.06804291918042825,0.05393688116337249,0.060760472598222946,0.84375,0.06451278459280729,0.03434497304260731,True
1,1,32,0.06804291918042825,0.05393688116337249,0.060760472598222946,0.84375,0.06451278459280729,0.03434497304260731,True
1,2,32,0.06804291918042825,0.05393688116337249,0.060760472598222946,0.84375,0.06451278459280729,0.03434497304260731,True
2,0,32,0.06635230644930112,0.04887513792363014,0.04979484091766555,0.84375,0.06447535194456577,0.0635058656334877,True
2,1,32,0.06635230644930112,0.04887513792363014,0.04979484091766555,0.84375,0.06447535194456577,0.0635058656334877,True
2,2,32,0.06635230644930112,0.04887513792363014,0.04979484091766555,0.84375,0.06447535194456577,0.0635058656334877,True
3,0,32,0.06724106656721669,0.04808554511025618,0.04571644241842766,0.859375,0.06491389218717813,0.05804824782535434,True
3,1,32,0.06724106656721669,0.04808554511025618,0.04571644241842766,0.859375,0.06491389218717813,0.05804824782535434,True
3,2,32,0.06724106656721669,0.04808554511025618,0.04571644241842766,0.859375,0.06491389218717813,0.05804824782535434,True
4,0,32,0.05610874763885774,0.03952636862799863,0.03986821804935116,0.734375,0.053505051881074905,0.04709633672609925,True
4,1,32,0.05610874763885774,0.03952636862799863,0.03986821804935116,0.734375,0.053505051881074905,0.04709633672609925,True
4,2,32,0.05610874763885774,0.03952636862799863,0.03986821804935116,0.734375,0.053505051881074905,0.04709633672609925,True
5,0,32,0.055919048024744844,0.03880392158217556,0.03792368265058714,0.75,0.05272175371646881,0.04617833811789751,True
5,1,32,0.055919048024744844,0.03880392158217556,0.03792368265058714,0.75,0.05272175371646881,0.04617833811789751,True
5,2,32,0.055919048024744844,0.03880392158217556,0.03792368265058714,0.75,0.05272175371646881,0.04617833811789751,True
6,0,32,0.05603631358401576,0.03868821144769753,0.038332816975018086,0.75,0.053347744047641754,0.046094939578324556,True
6,1,32,0.05603631358401576,0.03868821144769753,0.038332816975018086,0.75,0.053347744047641754,0.046094939578324556,True
6,2,32,0.05603631358401576,0.03868821144769753,0.038332816975018086,0.75,0.053347744047641754,0.046094939578324556,True
7,0,32,0.05598495176435593,0.038557288396355305,0.038308617308746795,0.75,0.05314752645790577,0.04883654322475195,True
7,1,32,0.05598495176435593,0.038557288396355305,0.038308617308746795,0.75,0.05314752645790577,0.04883654322475195,True
7,2,32,0.05598495176435593,0.038557288396355305,0.038308617308746795,0.75,0.05314752645790577,0.04883654322475195,True
8,0,32,0.056508632277754295,0.039106395629039545,0.03790119702038258,0.75,0.052547805942595005,0.04697550181299448,True
8,1,32,0.056508632277754295,0.039106395629039545,0.03790119702038258,0.75,0.052547805942595005,0.04697550181299448,True
8,2,32,0.056508632277754295,0.039106395629039545,0.03790119702038258,0.75,0.052547805942595005,0.04697550181299448,True
