n_levels,seed,curve_id,curve_idx,vr_class,kind,ordinal,center_va,segment_rmse,segment_d1_rmse,segment_d2_rmse,extremum_position_error,extremum_amplitude_error,contrast_error
1,0,1,0,0.0,peak,1,42.5,0.052104477307297364,0.02488325627545212,0.014163390213757319,-0.5,0.05013859272003174,0.04550594091415405
1,0,1,0,0.0,peak,2,53.0,0.08479499257822648,0.04007172670781033,0.04952476582174889,0.5,0.1014556884765625,0.04550594091415405
1,0,1,0,0.0,peak,3,64.0,0.09305458087319744,0.06119229840276,0.04996974687956533,1.0,0.10512280464172363,0.04550594091415405
1,0,1,0,0.0,peak,4,75.5,0.07056574225785253,0.06574332201247689,0.05973975463911428,1.0,0.06474018096923828,0.04550594091415405
1,0,1,0,0.0,valley,1,44.0,0.03129465362107793,0.0372649006810743,0.01798457587812592,1.5,0.008094191551208496,0.04550594091415405
1,0,1,0,0.0,valley,2,55.5,0.07213676385932746,0.056583821521920166,0.03521045942676075,2.0,0.07896888256072998,0.04550594091415405
1,0,1,0,0.0,valley,3,67.0,0.09240085482992916,0.06910937519206933,0.04048013793574415,2.0,0.10042142868041992,0.04550594091415405
1,0,2,1,4.0,peak,1,42.5,0.051832306701908734,0.041961678393668086,0.0507580809070947,-0.5,0.01950657367706299,0.056964099407196045
1,0,2,1,4.0,peak,2,53.5,0.044553515708305624,0.039538929432666306,0.07793982901002795,0.0,0.04758048057556152,0.056964099407196045
1,0,2,1,4.0,peak,3,65.0,0.034335441200481806,0.0480449992357359,0.0914491127649119,0.0,0.042375802993774414,0.056964099407196045
1,0,2,1,4.0,peak,4,77.0,0.052151657888993286,0.05316582475084956,0.08540005247194363,-0.5,-0.013092041015625,0.056964099407196045
1,0,2,1,4.0,valley,1,35.5,0.06228593855038837,0.031065401645967917,0.02237646626487433,-1.0,-0.05950123071670532,0.056964099407196045
1,0,2,1,4.0,valley,2,46.5,0.03620344783440704,0.033733484993530634,0.033339636285214504,0.0,0.03539633750915527,0.056964099407196045
1,0,2,1,4.0,valley,3,58.0,0.08324000902167275,0.06255160353562195,0.05802914550193648,0.0,0.11291682720184326,0.056964099407196045
1,0,2,1,4.0,valley,4,69.5,0.0787288306984571,0.062459318960077344,0.06614023508606638,0.5,0.10736870765686035,0.056964099407196045
1,0,3,2,6.0,peak,1,32.5,0.0530764203252488,0.048956295405470876,0.02506229134293814,10.5,-0.011085450649261475,0.016611576080322266
1,0,3,2,6.0,peak,2,43.0,0.05109214436728463,0.04290580017744602,0.06349784943502391,0.0,0.03323221206665039,0.016611576080322266
1,0,3,2,6.0,peak,3,54.0,0.02858859004797649,0.04326138227548027,0.07909217842042464,0.5,0.052262187004089355,0.016611576080322266
1,0,3,2,6.0,peak,4,66.0,0.03605960527445884,0.05597341915538984,0.12201163364498166,0.0,0.0028247833251953125,0.016611576080322266
1,0,3,2,6.0,peak,5,77.5,0.06911182359596771,0.07512671009418434,0.1287202071824162,0.0,-0.004991054534912109,0.016611576080322266
1,0,3,2,6.0,valley,1,36.5,0.045853483182357095,0.03214812496794765,0.03127365370417776,-0.5,-0.03444945812225342,0.016611576080322266
1,0,3,2,6.0,valley,2,47.5,0.07304347513646349,0.05358033117826445,0.05771507397950218,0.0,0.0883098840713501,0.016611576080322266
1,0,3,2,6.0,valley,3,59.0,0.13500338187491753,0.08259353732197665,0.07451130420800563,0.5,0.17621243000030518,0.016611576080322266
1,0,3,2,6.0,valley,4,71.0,0.13092592894396948,0.08297380354571611,0.08152351912325811,0.0,0.17587292194366455,0.016611576080322266
1,0,5,3,10.0,peak,1,34.0,0.10318649017190001,0.05904493785166315,0.018613692438234613,-1.0,0.08114838600158691,0.02191007137298584
1,0,5,3,10.0,peak,2,44.5,0.11473249732939225,0.055638907415775395,0.07856461214985966,-0.5,0.11876749992370605,0.02191007137298584
1,0,5,3,10.0,peak,3,56.0,0.061483833035441415,0.06885965507866211,0.1337299448548996,-0.5,0.05974304676055908,0.02191007137298584
1,0,5,3,10.0,peak,4,67.5,0.06694150900045781,0.07649389652980006,0.12041462928289824,0.0,0.008254528045654297,0.02191007137298584
1,0,5,3,10.0,valley,1,38.5,0.04859583249792723,0.040792380986410054,0.023241897853235636,-1.0,0.014620095491409302,0.02191007137298584
1,0,5,3,10.0,valley,2,50.0,0.07400673188074319,0.04415273469752668,0.041473960547254246,-0.5,0.08986726403236389,0.02191007137298584
1,0,5,3,10.0,valley,3,61.5,0.04905470841399446,0.051993771901198235,0.04752201497951503,-0.5,0.0665002167224884,0.02191007137298584
1,0,5,3,10.0,valley,4,73.0,0.09693374576368043,0.08411456690332686,0.06486127090962256,0.0,0.09958791732788086,0.02191007137298584
1,1,1,0,0.0,peak,1,42.5,0.052104477307297364,0.02488325627545212,0.014163390213757319,-0.5,0.05013859272003174,0.04550594091415405
1,1,1,0,0.0,peak,2,53.0,0.08479499257822648,0.04007172670781033,0.04952476582174889,0.5,0.1014556884765625,0.04550594091415405
1,1,1,0,0.0,peak,3,64.0,0.09305458087319744,0.06119229840276,0.04996974687956533,1.0,0.10512280464172363,0.04550594091415405
1,1,1,0,0.0,peak,4,75.5,0.07056574225785253,0.06574332201247689,0.05973975463911428,1.0,0.06474018096923828,0.04550594091415405
1,1,1,0,0.0,valley,1,44.0,0.03129465362107793,0.0372649006810743,0.01798457587812592,1.5,0.008094191551208496,0.04550594091415405
1,1,1,0,0.0,valley,2,55.5,0.07213676385932746,0.056583821521920166,0.03521045942676075,2.0,0.07896888256072998,0.04550594091415405
1,1,1,0,0.0,valley,3,67.0,0.09240085482992916,0.06910937519206933,0.04048013793574415,2.0,0.10042142868041992,0.04550594091415405
1,1,2,1,4.0,peak,1,42.5,0.051832306701908734,0.041961678393668086,0.0507580809070947,-0.5,0.01950657367706299,0.056964099407196045
1,1,2,1,4.0,peak,2,53.5,0.044553515708305624,0.039538929432666306,0.07793982901002795,0.0,0.04758048057556152,0.056964099407196045
1,1,2,1,4.0,peak,3,65.0,0.034335441200481806,0.0480449992357359,0.0914491127649119,0.0,0.042375802993774414,0.056964099407196045
1,1,2,1,4.0,peak,4,77.0,0.052151657888993286,0.05316582475084956,0.08540005247194363,-0.5,-0.013092041015625,0.056964099407196045
1,1,2,1,4.0,valley,1,35.5,0.06228593855038837,0.031065401645967917,0.02237646626487433,-1.0,-0.05950123071670532,0.056964099407196045
1,1,2,1,4.0,valley,2,46.5,0.03620344783440704,0.033733484993530634,0.033339636285214504,0.0,0.03539633750915527,0.056964099407196045
1,1,2,1,4.0,valley,3,58.0,0.08324000902167275,0.06255160353562195,0.05802914550193648,0.0,0.11291682720184326,0.056964099407196045
1,1,2,1,4.0,valley,4,69.5,0.0787288306984571,0.062459318960077344,0.06614023508606638,0.5,0.10736870765686035,0.056964099407196045
1,1,3,2,6.0,peak,1,32.5,0.0530764203252488,0.048956295405470876,0.02506229134293814,10.5,-0.011085450649261475,0.016611576080322266
1,1,3,2,6.0,peak,2,43.0,0.05109214436728463,0.04290580017744602,0.06349784943502391,0.0,0.03323221206665039,0.016611576080322266
