n_levels,seed,vr_class,curve_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,flatline_guard_pass
1,0,0.0,1,0.07090743790384406,0.05069267154193759,0.03815326154211666,True
1,0,4.0,1,0.055416393450576834,0.04656515511851471,0.060679069786508735,True
1,0,6.0,1,0.06919498363873824,0.057502156013541805,0.07371196789341423,True
1,0,10.0,1,0.07686691851169211,0.06013635642054532,0.06605275287693996,True
1,1,0.0,1,0.07090743790384406,0.05069267154193759,0.03815326154211666,True
1,1,4.0,1,0.055416393450576834,0.04656515511851471,0.060679069786508735,True
1,1,6.0,1,0.06919498363873824,0.057502156013541805,0.07371196789341423,True
1,1,10.0,1,0.07686691851169211,0.06013635642054532,0.06605275287693996,True
1,2,0.0,1,0.07090743790384406,0.05069267154193759,0.03815326154211666,True
1,2,4.0,1,0.055416393450576834,0.04656515511851471,0.060679069786508735,True
1,2,6.0,1,0.06919498363873824,0.057502156013541805,0.07371196789341423,True
1,2,10.0,1,0.07686691851169211,0.06013635642054532,0.06605275287693996,True
2,0,0.0,1,0.07291710804622588,0.04877724587913491,0.03734507357471895,True
2,0,4.0,1,0.05363585135297035,0.04057844720781562,0.04764407108290452,True
2,0,6.0,1,0.06630494734224085,0.04975398834811517,0.05813253201635685,True
2,0,10.0,1,0.07337783914376551,0.05626877745083231,0.05345925469147711,True
2,1,0.0,1,0.07291710804622588,0.04877724587913491,0.03734507357471895,True
2,1,4.0,1,0.05363585135297035,0.04057844720781562,0.04764407108290452,True
2,1,6.0,1,0.06630494734224085,0.04975398834811517,0.05813253201635685,True
2,1,10.0,1,0.07337783914376551,0.05626877745083231,0.05345925469147711,True
2,2,0.0,1,0.07291710804622588,0.04877724587913491,0.03734507357471895,True
2,2,4.0,1,0.05363585135297035,0.04057844720781562,0.04764407108290452,True
2,2,6.0,1,0.06630494734224085,0.04975398834811517,0.05813253201635685,True
2,2,10.0,1,0.07337783914376551,0.05626877745083231,0.05345925469147711,True
3,0,0.0,1,0.07213471447682333,0.047114647489095475,0.03224619802499493,True
3,0,4.0,1,0.05398365956618632,0.04006911609941649,0.047084932123738335,True
3,0,6.0,1,0.06804537718538649,0.04883447859387988,0.055132640572629364,True
3,0,10.0,1,0.07531168220190024,0.05610895937053481,0.04554119363389368,True
3,1,0.0,1,0.07213471447682333,0.047114647489095475,0.03224619802499493,True
3,1,4.0,1,0.05398365956618632,0.04006911609941649,0.047084932123738335,True
3,1,6.0,1,0.06804537718538649,0.04883447859387988,0.055132640572629364,True
3,1,10.0,1,0.07531168220190024,0.05610895937053481,0.04554119363389368,True
3,2,0.0,1,0.07213471447682333,0.047114647489095475,0.03224619802499493,True
3,2,4.0,1,0.05398365956618632,0.04006911609941649,0.047084932123738335,True
3,2,6.0,1,0.06804537718538649,0.04883447859387988,0.055132640572629364,True
3,2,10.0,1,0.07531168220190024,0.05610895937053481,0.04554119363389368,True
4,0,0.0,1,0.06450804423049035,0.04438692540242221,0.03221398371281726,True
4,0,4.0,1,0.040861632517618894,0.032908042365062395,0.04026319234226742,True
4,0,6.0,1,0.052497263246941595,0.03699554124156179,0.046073856869974304,True
4,0,10.0,1,0.06806939818332372,0.044738888523055687,0.03918935512770104,True
4,1,0.0,1,0.06450804423049035,0.04438692540242221,0.03221398371281726,True
4,1,4.0,1,0.040861632517618894,0.032908042365062395,0.04026319234226742,True
4,1,6.0,1,0.052497263246941595,0.03699554124156179,0.046073856869974304,True
4,1,10.0,1,0.06806939818332372,0.044738888523055687,0.03918935512770104,True
4,2,0.0,1,0.06450804423049035,0.04438692540242221,0.03221398371281726,True
4,2,4.0,1,0.040861632517618894,0.032908042365062395,0.04026319234226742,True
4,2,6.0,1,0.052497263246941595,0.03699554124156179,0.046073856869974304,True
