n_levels,forward_main_spacing,learned_effective_spacing,spacing_abs_delta,spacing_rel_delta,level_anchor_mean_abs_delta,forward_confidence,spacing_tolerance_rel,envelope_consistency_status,status,soft_constraint_only
1,11.5,11.651579856872559,0.1515798568725586,0.01318085711935292,0.1515798568725586,0.9475202202349895,0.2,compatible,consistent,True
2,11.5,11.662076810862004,0.1620768108620041,0.014093635727130792,0.04042959213256836,0.9475202202349895,0.2,compatible,consistent,True
3,11.5,11.670812183085843,0.17081218308584312,0.014853233311812444,0.05017693837483724,0.9475202202349895,0.2,compatible,consistent,True
4,11.5,11.681735385045954,0.181735385045954,0.015803076960517737,0.11291670799255371,0.9475202202349895,0.2,compatible,consistent,True
5,11.5,12.04670926163567,0.5467092616356695,0.04753993579440604,0.4524812698364258,0.9475202202349895,0.2,compatible,consistent,True
6,11.5,12.084303317141853,0.5843033171418526,0.05080898409929153,0.4824382464090983,0.9475202202349895,0.2,compatible,consistent,True
7,11.5,12.114062031979017,0.6140620319790173,0.05339669843295803,0.46122210366385324,0.9475202202349895,0.2,compatible,consistent,True
8,11.5,12.13718605214467,0.6371860521446706,0.05540748279518875,0.43142664432525635,0.9475202202349895,0.2,compatible,consistent,True
