n_levels,composite_rank_score,rmse_rank,cv_rank,d1_rank,d2_rank,structure_rank,physical_rank,bic_rank,aic_rank,degeneracy_penalty,rmse_mean,cv_rmse_mean,d1_rmse_mean,d2_rmse_mean,structure_score,vr_physical_response_score,bic,aic,channel_degeneracy_status,channel_degeneracy_reasons,energy_cluster_status,effective_distinct_level_count
1,22.75,1.0,1.0,1.0,6.0,5.0,5.0,1.0,1.0,1.0,0.07033821288496256,0.07033821288496256,0.03453748533502221,0.03068037750199437,0.046990381027374094,0.28846311375377626,-3156.0156239116827,-3316.8527780514396,degenerate,['top_heavy'],separated,1
2,26.5,2.0,2.0,2.0,4.0,6.0,6.0,2.0,2.0,0.0,0.07106684520840645,0.07106684520840645,0.03497987613081932,0.030480358749628067,0.047374326249329614,0.3251482170771777,-3131.387566790784,-3301.1601183827497,balanced,[],separated,2
3,41.25,4.0,4.0,7.0,5.0,7.0,8.0,3.0,3.0,0.0,0.07179426588118076,0.07179426588118076,0.03534736158326268,0.03060338646173477,0.04835078853267927,0.3639129034387387,-3107.560219615837,-3286.2681686600113,balanced,[],separated,3
4,48.0,8.0,8.0,5.0,2.0,8.0,7.0,4.0,6.0,1.0,0.07220404874533415,0.07220404874533415,0.03528151195496321,0.030375946313142776,0.048729521065464805,0.3568524025320038,-3088.49086902055,-3276.1342155169327,degenerate,['low_weight'],separated,4
5,36.0,3.0,3.0,8.0,8.0,4.0,1.0,5.0,4.0,1.0,0.07174840662628412,0.07174840662628412,0.035535454750061035,0.03097868151962757,0.0464275497046919,0.10452595304667466,-3087.823732915297,-3284.4024768638888,degenerate,['low_weight'],separated,5
6,40.25,6.0,6.0,6.0,7.0,3.0,2.0,6.0,5.0,1.0,0.07193769607692957,0.07193769607692957,0.03534247726202011,0.030684628058224916,0.0460736983041435,0.16471491354267773,-3072.2136493690605,-3277.727790769861,degenerate,['low_weight'],separated,6
7,39.0,7.0,7.0,4.0,3.0,2.0,4.0,7.0,7.0,1.0,0.0719563364982605,0.0719563364982605,0.03520383033901453,0.030458569061011076,0.04589157572635105,0.16680156191190085,-3059.0988549974845,-3273.5483938504935,degenerate,['low_weight'],separated,7
8,31.25,5.0,5.0,3.0,1.0,1.0,3.0,8.0,8.0,1.0,0.07189151085913181,0.07189151085913181,0.035118941217660904,0.03035616222769022,0.045577004861725855,0.1663919374710176,-3046.9264883956507,-3270.3114247008684,degenerate,['low_weight'],separated,8
