n_levels,seed,vr_class,curve_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,flatline_guard_pass
1,0,0.0,1,0.06249680559021457,0.0375262771091825,0.021796693283681317,True
1,0,4.0,1,0.030181647255252162,0.022636264474237652,0.02277876159752191,True
1,0,6.0,1,0.04217234704777977,0.028451210157752822,0.03106672102758103,True
1,0,8.0,1,0.04193840225146259,0.0272868864064174,0.03501176085950304,True
1,1,0.0,1,0.06249680559021457,0.0375262771091825,0.021796693283681317,True
1,1,4.0,1,0.030181647255252162,0.022636264474237652,0.02277876159752191,True
1,1,6.0,1,0.04217234704777977,0.028451210157752822,0.03106672102758103,True
1,1,8.0,1,0.04193840225146259,0.0272868864064174,0.03501176085950304,True
1,2,0.0,1,0.06249680559021457,0.0375262771091825,0.021796693283681317,True
1,2,4.0,1,0.030181647255252162,0.022636264474237652,0.02277876159752191,True
1,2,6.0,1,0.04217234704777977,0.028451210157752822,0.03106672102758103,True
1,2,8.0,1,0.04193840225146259,0.0272868864064174,0.03501176085950304,True
2,0,0.0,1,0.06217668473438148,0.03703531212547977,0.020420133077595614,True
2,0,4.0,1,0.030574251341460346,0.02271533266830702,0.020666351241704198,True
2,0,6.0,1,0.04334579193146507,0.02894562963913882,0.027456715565384236,True
2,0,8.0,1,0.04219577487304054,0.027560489943397885,0.032282642843466824,True
2,1,0.0,1,0.06217668473438148,0.03703531212547977,0.020420133077595614,True
2,1,4.0,1,0.030574251341460346,0.02271533266830702,0.020666351241704198,True
2,1,6.0,1,0.04334579193146507,0.02894562963913882,0.027456715565384236,True
2,1,8.0,1,0.04219577487304054,0.027560489943397885,0.032282642843466824,True
2,2,0.0,1,0.06217668473438148,0.03703531212547977,0.020420133077595614,True
2,2,4.0,1,0.030574251341460346,0.02271533266830702,0.020666351241704198,True
2,2,6.0,1,0.04334579193146507,0.02894562963913882,0.027456715565384236,True
2,2,8.0,1,0.04219577487304054,0.027560489943397885,0.032282642843466824,True
3,0,0.0,1,0.06250387930408433,0.03706988539194083,0.020084849312802928,True
3,0,4.0,1,0.032020468933219894,0.023272929332194003,0.02072723240319464,True
3,0,6.0,1,0.043969000405422065,0.029351969571503704,0.02730518511093659,True
3,0,8.0,1,0.04342006919017394,0.028933287129058977,0.032993339470065705,True
3,1,0.0,1,0.06250387930408433,0.03706988539194083,0.020084849312802928,True
3,1,4.0,1,0.032020468933219894,0.023272929332194003,0.02072723240319464,True
3,1,6.0,1,0.043969000405422065,0.029351969571503704,0.02730518511093659,True
3,1,8.0,1,0.04342006919017394,0.028933287129058977,0.032993339470065705,True
3,2,0.0,1,0.06250387930408433,0.03706988539194083,0.020084849312802928,True
3,2,4.0,1,0.032020468933219894,0.023272929332194003,0.02072723240319464,True
3,2,6.0,1,0.043969000405422065,0.029351969571503704,0.02730518511093659,True
3,2,8.0,1,0.04342006919017394,0.028933287129058977,0.032993339470065705,True
4,0,0.0,1,0.06333568405297257,0.03745399072910096,0.02062688761995431,True
4,0,4.0,1,0.03243406135744283,0.022568484132911598,0.020572716677951693,True
4,0,6.0,1,0.04393246671353074,0.028245770515348156,0.026508857274715716,True
4,0,8.0,1,0.044061756776669146,0.028749862158747756,0.03119676860729353,True
4,1,0.0,1,0.06333568405297257,0.03745399072910096,0.02062688761995431,True
4,1,4.0,1,0.03243406135744283,0.022568484132911598,0.020572716677951693,True
4,1,6.0,1,0.04393246671353074,0.028245770515348156,0.026508857274715716,True
4,1,8.0,1,0.044061756776669146,0.028749862158747756,0.03119676860729353,True
4,2,0.0,1,0.06333568405297257,0.03745399072910096,0.02062688761995431,True
4,2,4.0,1,0.03243406135744283,0.022568484132911598,0.020572716677951693,True
4,2,6.0,1,0.04393246671353074,0.028245770515348156,0.026508857274715716,True
4,2,8.0,1,0.044061756776669146,0.028749862158747756,0.03119676860729353,True
5,0,0.0,1,0.06015130303574482,0.031959913942787514,0.016939981659944946,True
5,0,4.0,1,0.028981161575222472,0.022849713230348283,0.021915743234861295,True
5,0,6.0,1,0.04249863860803947,0.02852607753047421,0.029162973630952764,True
5,0,8.0,1,0.04312275291663675,0.02806964266296229,0.03371912523206213,True
5,1,0.0,1,0.06015130303574482,0.031959913942787514,0.016939981659944946,True
5,1,4.0,1,0.028981161575222472,0.022849713230348283,0.021915743234861295,True
5,1,6.0,1,0.04249863860803947,0.02852607753047421,0.029162973630952764,True
