n_levels,weights,min_weight,max_weight,top1_mass,top2_mass,hhi,effective_n_inverse_hhi,entropy,entropy_effective_n,normalized_entropy,low_weight_threshold,concentration_threshold,low_weight_count,channel_degeneracy_status,channel_degeneracy_reasons,energy_cluster_status,cluster_count,clustered_level_indices,cluster_centers_eV,cluster_spans_eV,cluster_weight_mass,clustered_level_count,effective_distinct_level_count,cluster_tolerance_eV
1,[1.0],1.0,1.0,1.0,1.0,1.0,1.0,-1.000088900581841e-12,0.9999999999989999,-1.4428232973175177e-12,0.35,0.78,0,degenerate,['top_heavy'],separated,0,[],[],[],[],0,1,0.02
2,"[0.5153588056564331, 0.4846411943435669]",0.4846411943435669,0.5153588056564331,0.5153588056564331,1.0,0.5004717858223842,1.9981146356867694,0.69267532051359,1.9990565025241767,0.9993192498511296,0.175,0.78,0,balanced,[],separated,0,[],[],[],[],0,2,0.02
3,"[0.30167667259712977, 0.5106779628587983, 0.18764536454407188]",0.18764536454407188,0.5106779628587983,0.5106779628587983,0.8123546354559281,0.38701157937376557,2.583902015588599,1.0186814689454062,2.769540630121449,0.9272438324719572,0.11666666666666665,0.8,0,balanced,[],separated,0,[],[],[],[],0,3,0.02
4,"[0.14712506642285783, 0.5164809861517026, 0.2730280777292555, 0.06336586969618402]",0.06336586969618402,0.5164809861517026,0.5164809861517026,0.7895090638809581,0.36695795889705163,2.7251078107302895,1.1524641957313522,3.1659849117427887,0.8313271899918547,0.0875,0.85,1,degenerate,['low_weight'],separated,0,[],[],[],[],0,4,0.02
5,"[0.26733009122547136, 0.445165086153209, 0.0878797060499965, 0.05717781792937218, 0.14244729864195096]",0.05717781792937218,0.445165086153209,0.445165086153209,0.7124951773786803,0.3009207100934002,3.32313452168054,1.3678804552672663,3.927018377112563,0.849911913158859,0.06999999999999999,0.88,1,degenerate,['low_weight'],separated,0,[],[],[],[],0,5,0.02
6,"[0.16549638838487055, 0.5167044093853465, 0.08607157055688484, 0.05196738160964371, 0.0554872335207034, 0.1242730165425511]",0.05196738160964371,0.5167044093853465,0.5167044093853465,0.682200797770217,0.323004040980553,3.0959364996309957,1.423229897144216,4.150504516706314,0.7943197296216257,0.05833333333333333,0.9,2,degenerate,['low_weight'],separated,0,[],[],[],[],0,6,0.02
7,"[0.09799563133038251, 0.5621347164827459, 0.086881266675398, 0.04477176876499311, 0.045145717073327304, 0.05969933253648641, 0.10337156713666673]",0.04477176876499311,0.5621347164827459,0.5621347164827459,0.6655062836194127,0.3514392759801023,2.845441782826282,1.4454710512186502,4.243850743126243,0.7428251771647254,0.049999999999999996,0.9142857142857143,2,degenerate,['low_weight'],separated,0,[],[],[],[],0,7,0.02
8,"[0.06998007916077323, 0.5850200769661303, 0.07991141916047327, 0.039889459022998446, 0.04036836740335791, 0.04167609692784349, 0.06113333871612902, 0.08202116264229425]",0.039889459022998446,0.5850200769661303,0.5850200769661303,0.6670412396084247,0.3689539641519196,2.710365241090735,1.4681585198261167,4.341233480489738,0.7060350052640065,0.04375,0.925,3,degenerate,['low_weight'],separated,0,[],[],[],[],0,8,0.02
