n_levels,seed,curve_id,curve_idx,vr_class,kind,ordinal,center_va,segment_rmse,segment_d1_rmse,segment_d2_rmse,extremum_position_error,extremum_amplitude_error,contrast_error
1,0,1,0,0.0,peak,1,42.5,0.03964669277398833,0.039796991653151065,0.019384815875903866,-1.5,0.003360271453857422,0.029961958527565002
1,0,1,0,0.0,peak,2,53.0,0.05751679645389735,0.018063211144258833,0.014756509423146527,-0.5,0.0629265308380127,0.029961958527565002
1,0,1,0,0.0,peak,3,64.0,0.08229242792950776,0.02094442475187767,0.02506880302983375,0.0,0.09055757522583008,0.029961958527565002
1,0,1,0,0.0,peak,4,75.5,0.0680636738946227,0.025229834548225617,0.031415222607229336,0.0,0.07672882080078125,0.029961958527565002
1,0,1,0,0.0,valley,1,44.0,0.07680676821757643,0.038733137521156195,0.016136403695660245,1.0,-0.07161343097686768,0.029961958527565002
1,0,1,0,0.0,valley,2,55.5,0.0494429826570593,0.05081838115716512,0.015922886253802577,1.0,-0.003430604934692383,0.029961958527565002
1,0,1,0,0.0,valley,3,67.0,0.06370829720485006,0.069097958988443,0.02989221210019292,1.5,0.02168416976928711,0.029961958527565002
1,0,2,1,4.0,peak,1,42.5,0.02884820502877914,0.02228244745282723,0.00873360407271349,-0.5,0.01374197006225586,0.06233444809913635
1,0,2,1,4.0,peak,2,53.5,0.023627355016466827,0.008812152072743754,0.014194228397142662,0.0,0.019163131713867188,0.06233444809913635
1,0,2,1,4.0,peak,3,65.0,0.015566069055909114,0.009494940457915171,0.023007975637988544,0.0,0.015132427215576172,0.06233444809913635
1,0,2,1,4.0,peak,4,77.0,0.020295336343568077,0.018968378309733976,0.020375035185863366,-0.5,-0.008805036544799805,0.06233444809913635
1,0,2,1,4.0,valley,1,35.5,0.07303001231238199,0.04894071949750734,0.03601117581781275,-1.0,-0.0771527886390686,0.06233444809913635
1,0,2,1,4.0,valley,2,46.5,0.017141209777888734,0.015614053682319017,0.01555192487788122,0.0,-0.0056765079498291016,0.06233444809913635
