n_levels,seed,curve_id,vr_class,late_va_min,late_bias_fit_minus_target,late_target_range,late_pred_range,late_valley_count,late_valley_lift_mean,is_high_vr
1,0,1,0.0,60.0,-0.03477729239114901,0.6150000095367432,0.9340860843658447,1,0.11495518684387207,False
1,0,3,6.0,60.0,-0.009414643776126025,1.439000129699707,1.343387484550476,1,0.13245046138763428,False
1,0,4,8.0,60.0,-0.014898025408023742,1.5730000138282776,1.4987128973007202,1,0.10036736726760864,True
1,0,5,10.0,60.0,0.005130426912772946,1.5959999561309814,1.5602938830852509,1,0.07505589723587036,True
1,1,1,0.0,60.0,-0.03477729239114901,0.6150000095367432,0.9340860843658447,1,0.11495518684387207,False
1,1,3,6.0,60.0,-0.009414643776126025,1.439000129699707,1.343387484550476,1,0.13245046138763428,False
1,1,4,8.0,60.0,-0.014898025408023742,1.5730000138282776,1.4987128973007202,1,0.10036736726760864,True
1,1,5,10.0,60.0,0.005130426912772946,1.5959999561309814,1.5602938830852509,1,0.07505589723587036,True
1,2,1,0.0,60.0,-0.03477729239114901,0.6150000095367432,0.9340860843658447,1,0.11495518684387207,False
1,2,3,6.0,60.0,-0.009414643776126025,1.439000129699707,1.343387484550476,1,0.13245046138763428,False
1,2,4,8.0,60.0,-0.014898025408023742,1.5730000138282776,1.4987128973007202,1,0.10036736726760864,True
1,2,5,10.0,60.0,0.005130426912772946,1.5959999561309814,1.5602938830852509,1,0.07505589723587036,True
2,0,1,0.0,60.0,-0.0227569835941966,0.6150000095367432,0.9259774684906006,1,0.11618161201477051,False
2,0,3,6.0,60.0,-0.0043664472859080245,1.439000129699707,1.318138837814331,1,0.14504432678222656,False
2,0,4,8.0,60.0,-0.016195599625750286,1.5730000138282776,1.4546496868133545,1,0.10541510581970215,True
2,0,5,10.0,60.0,-0.0036314078947392906,1.5959999561309814,1.4934239387512207,1,0.07765322923660278,True
2,1,1,0.0,60.0,-0.0227569835941966,0.6150000095367432,0.9259774684906006,1,0.11618161201477051,False
2,1,3,6.0,60.0,-0.0043664472859080245,1.439000129699707,1.318138837814331,1,0.14504432678222656,False
2,1,4,8.0,60.0,-0.016195599625750286,1.5730000138282776,1.4546496868133545,1,0.10541510581970215,True
2,1,5,10.0,60.0,-0.0036314078947392906,1.5959999561309814,1.4934239387512207,1,0.07765322923660278,True
2,2,1,0.0,60.0,-0.0227569835941966,0.6150000095367432,0.9259774684906006,1,0.11618161201477051,False
2,2,3,6.0,60.0,-0.0043664472859080245,1.439000129699707,1.318138837814331,1,0.14504432678222656,False
2,2,4,8.0,60.0,-0.016195599625750286,1.5730000138282776,1.4546496868133545,1,0.10541510581970215,True
2,2,5,10.0,60.0,-0.0036314078947392906,1.5959999561309814,1.4934239387512207,1,0.07765322923660278,True
3,0,1,0.0,60.0,-0.017599291917754382,0.6150000095367432,0.9232800006866455,1,0.11747908592224121,False
3,0,3,6.0,60.0,-0.006070363812330292,1.439000129699707,1.3208286762237549,1,0.15236806869506836,False
3,0,4,8.0,60.0,-0.01796774166386302,1.5730000138282776,1.4725151658058167,1,0.11160045862197876,True
3,0,5,10.0,60.0,-0.007620207420209559,1.5959999561309814,1.4944258332252502,1,0.08965182304382324,True
3,1,1,0.0,60.0,-0.017599291917754382,0.6150000095367432,0.9232800006866455,1,0.11747908592224121,False
3,1,3,6.0,60.0,-0.006070363812330292,1.439000129699707,1.3208286762237549,1,0.15236806869506836,False
3,1,4,8.0,60.0,-0.01796774166386302,1.5730000138282776,1.4725151658058167,1,0.11160045862197876,True
3,1,5,10.0,60.0,-0.007620207420209559,1.5959999561309814,1.4944258332252502,1,0.08965182304382324,True
3,2,1,0.0,60.0,-0.017599291917754382,0.6150000095367432,0.9232800006866455,1,0.11747908592224121,False
3,2,3,6.0,60.0,-0.006070363812330292,1.439000129699707,1.3208286762237549,1,0.15236806869506836,False
3,2,4,8.0,60.0,-0.01796774166386302,1.5730000138282776,1.4725151658058167,1,0.11160045862197876,True
3,2,5,10.0,60.0,-0.007620207420209559,1.5959999561309814,1.4944258332252502,1,0.08965182304382324,True
4,0,1,0.0,60.0,-0.016203781453574578,0.6150000095367432,0.9034237861633301,1,0.1355116367340088,False
4,0,3,6.0,60.0,0.0006681128246028249,1.439000129699707,1.307593584060669,1,0.08953416347503662,False
4,0,4,8.0,60.0,-0.007767542106349294,1.5730000138282776,1.4762876629829407,1,0.03590667247772217,True
4,0,5,10.0,60.0,-0.0030859338074195677,1.5959999561309814,1.5092355012893677,1,0.008546829223632812,True
4,1,1,0.0,60.0,-0.016203781453574578,0.6150000095367432,0.9034237861633301,1,0.1355116367340088,False
4,1,3,6.0,60.0,0.0006681128246028249,1.439000129699707,1.307593584060669,1,0.08953416347503662,False
4,1,4,8.0,60.0,-0.007767542106349294,1.5730000138282776,1.4762876629829407,1,0.03590667247772217,True
4,1,5,10.0,60.0,-0.0030859338074195677,1.5959999561309814,1.5092355012893677,1,0.008546829223632812,True
4,2,1,0.0,60.0,-0.016203781453574578,0.6150000095367432,0.9034237861633301,1,0.1355116367340088,False
4,2,3,6.0,60.0,0.0006681128246028249,1.439000129699707,1.307593584060669,1,0.08953416347503662,False
4,2,4,8.0,60.0,-0.007767542106349294,1.5730000138282776,1.4762876629829407,1,0.03590667247772217,True
4,2,5,10.0,60.0,-0.0030859338074195677,1.5959999561309814,1.5092355012893677,1,0.008546829223632812,True
5,0,1,0.0,60.0,-0.015104340343940549,0.6150000095367432,0.9006884098052979,1,0.13440918922424316,False
5,0,3,6.0,60.0,-0.001056339682602301,1.439000129699707,1.3122670650482178,1,0.09621846675872803,False
5,0,4,8.0,60.0,-0.008123095442609089,1.5730000138282776,1.485409140586853,1,0.042345523834228516,True
5,0,5,10.0,60.0,-0.0035580614717995247,1.5959999561309814,1.5198502242565155,1,0.018899738788604736,True
5,1,1,0.0,60.0,-0.015104340343940549,0.6150000095367432,0.9006884098052979,1,0.13440918922424316,False
5,1,3,6.0,60.0,-0.001056339682602301,1.439000129699707,1.3122670650482178,1,0.09621846675872803,False
5,1,4,8.0,60.0,-0.008123095442609089,1.5730000138282776,1.485409140586853,1,0.042345523834228516,True
5,1,5,10.0,60.0,-0.0035580614717995247,1.5959999561309814,1.5198502242565155,1,0.018899738788604736,True
5,2,1,0.0,60.0,-0.015104340343940549,0.6150000095367432,0.9006884098052979,1,0.13440918922424316,False
5,2,3,6.0,60.0,-0.001056339682602301,1.439000129699707,1.3122670650482178,1,0.09621846675872803,False
5,2,4,8.0,60.0,-0.008123095442609089,1.5730000138282776,1.485409140586853,1,0.042345523834228516,True
5,2,5,10.0,60.0,-0.0035580614717995247,1.5959999561309814,1.5198502242565155,1,0.018899738788604736,True
6,0,1,0.0,60.0,-0.014997232251050995,0.6150000095367432,0.901890754699707,1,0.13356828689575195,False
6,0,3,6.0,60.0,-0.0015380120858913514,1.439000129699707,1.3176829814910889,1,0.09978246688842773,False
6,0,4,8.0,60.0,-0.009717021046615228,1.5730000138282776,1.4948325753211975,1,0.044854938983917236,True
6,0,5,10.0,60.0,-0.0041214496624179,1.5959999561309814,1.5266463160514832,1,0.0228843092918396,True
6,1,1,0.0,60.0,-0.014997232251050995,0.6150000095367432,0.901890754699707,1,0.13356828689575195,False
6,1,3,6.0,60.0,-0.0015380120858913514,1.439000129699707,1.3176829814910889,1,0.09978246688842773,False
6,1,4,8.0,60.0,-0.009717021046615228,1.5730000138282776,1.4948325753211975,1,0.044854938983917236,True
6,1,5,10.0,60.0,-0.0041214496624179,1.5959999561309814,1.5266463160514832,1,0.0228843092918396,True
6,2,1,0.0,60.0,-0.014997232251050995,0.6150000095367432,0.901890754699707,1,0.13356828689575195,False
6,2,3,6.0,60.0,-0.0015380120858913514,1.439000129699707,1.3176829814910889,1,0.09978246688842773,False
6,2,4,8.0,60.0,-0.009717021046615228,1.5730000138282776,1.4948325753211975,1,0.044854938983917236,True
6,2,5,10.0,60.0,-0.0041214496624179,1.5959999561309814,1.5266463160514832,1,0.0228843092918396,True
7,0,1,0.0,60.0,-0.014918751832915515,0.6150000095367432,0.9032001495361328,1,0.1333167552947998,False
7,0,3,6.0,60.0,0.00023821795858987947,1.439000129699707,1.3219038248062134,1,0.10049962997436523,False
7,0,4,8.0,60.0,-0.010587107844469024,1.5730000138282776,1.4961861968040466,1,0.04501223564147949,True
7,0,5,10.0,60.0,-0.004618271094996755,1.5959999561309814,1.5290118157863617,1,0.023693978786468506,True
7,1,1,0.0,60.0,-0.014918751832915515,0.6150000095367432,0.9032001495361328,1,0.1333167552947998,False
7,1,3,6.0,60.0,0.00023821795858987947,1.439000129699707,1.3219038248062134,1,0.10049962997436523,False
7,1,4,8.0,60.0,-0.010587107844469024,1.5730000138282776,1.4961861968040466,1,0.04501223564147949,True
7,1,5,10.0,60.0,-0.004618271094996755,1.5959999561309814,1.5290118157863617,1,0.023693978786468506,True
7,2,1,0.0,60.0,-0.014918751832915515,0.6150000095367432,0.9032001495361328,1,0.1333167552947998,False
7,2,3,6.0,60.0,0.00023821795858987947,1.439000129699707,1.3219038248062134,1,0.10049962997436523,False
7,2,4,8.0,60.0,-0.010587107844469024,1.5730000138282776,1.4961861968040466,1,0.04501223564147949,True
7,2,5,10.0,60.0,-0.004618271094996755,1.5959999561309814,1.5290118157863617,1,0.023693978786468506,True
8,0,1,0.0,60.0,-0.014706175501753644,0.6150000095367432,0.9043927192687988,1,0.133347749710083,False
8,0,3,6.0,60.0,4.465987042682927e-05,1.439000129699707,1.3269206285476685,1,0.10302746295928955,False
8,0,4,8.0,60.0,-0.01108411754049906,1.5730000138282776,1.4975694417953491,1,0.0480419397354126,True
8,0,5,10.0,60.0,-0.005203154755801689,1.5959999561309814,1.5309270024299622,1,0.026701390743255615,True
8,1,1,0.0,60.0,-0.014706175501753644,0.6150000095367432,0.9043927192687988,1,0.133347749710083,False
8,1,3,6.0,60.0,4.465987042682927e-05,1.439000129699707,1.3269206285476685,1,0.10302746295928955,False
8,1,4,8.0,60.0,-0.01108411754049906,1.5730000138282776,1.4975694417953491,1,0.0480419397354126,True
8,1,5,10.0,60.0,-0.005203154755801689,1.5959999561309814,1.5309270024299622,1,0.026701390743255615,True
8,2,1,0.0,60.0,-0.014706175501753644,0.6150000095367432,0.9043927192687988,1,0.133347749710083,False
8,2,3,6.0,60.0,4.465987042682927e-05,1.439000129699707,1.3269206285476685,1,0.10302746295928955,False
8,2,4,8.0,60.0,-0.01108411754049906,1.5730000138282776,1.4975694417953491,1,0.0480419397354126,True
