n_levels,composite_rank_score,rmse_rank,cv_rank,d1_rank,d2_rank,structure_rank,physical_rank,bic_rank,aic_rank,degeneracy_penalty,rmse_mean,cv_rmse_mean,d1_rmse_mean,d2_rmse_mean,structure_score,vr_physical_response_score,bic,aic,channel_degeneracy_status,channel_degeneracy_reasons,energy_cluster_status,effective_distinct_level_count
1,50.75,6.0,6.0,8.0,8.0,7.0,8.0,2.0,6.0,1.0,0.07750143483281136,0.07750143483281136,0.04572307877242565,0.04938801098614931,0.06855124817686215,0.592083825570781,-2994.9158224942144,-3155.7529766339712,degenerate,['top_heavy'],separated,1
2,48.0,7.0,7.0,6.0,7.0,6.0,6.0,4.0,7.0,0.0,0.07833075057715178,0.07833075057715178,0.045246548019349575,0.04490918479859829,0.06840822924095821,0.5530145255530753,-2977.6963030788525,-3147.468854670818,balanced,[],separated,2
3,57.0,8.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0,0.0,0.07930035330355167,0.07930035330355167,0.04548649396747351,0.043521380983293056,0.06921764697271147,0.5548406192442266,-2954.857187309337,-3133.565136353511,balanced,[],separated,3
4,12.75,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.07430699188262224,0.07430699188262224,0.03982927743345499,0.03727608826011419,0.055183100442990594,0.23063004259171527,-3006.4318052928625,-3194.0751517892454,balanced,[],separated,4
5,29.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,0.0,0.07480957359075546,0.07480957359075546,0.040364922024309635,0.03780698124319315,0.05598493940734334,0.25196138436232157,-2989.1794666821083,-3185.7582106307,balanced,[],separated,5
6,32.75,5.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,0.0,0.07481773663312197,0.07481773663312197,0.039914777502417564,0.03670783620327711,0.056027268404153265,0.26188174035491013,-2976.6750259130768,-3182.189167313877,balanced,[],separated,6
7,25.75,3.0,3.0,2.0,2.0,3.0,4.0,6.0,4.0,0.0,0.07467574439942837,0.07467574439942837,0.039497082121670246,0.03611266938969493,0.05545419002952986,0.2621447410040755,-2965.4972401936716,-3179.9467790466806,balanced,[],separated,7
8,24.0,2.0,2.0,1.0,1.0,2.0,5.0,8.0,5.0,0.0,0.07458898145705462,0.07458898145705462,0.03926302585750818,0.035858841612935066,0.055194226632585115,0.2737056264063207,-2954.036905715,-3177.421842020218,balanced,[],separated,8
