n_levels,seed,weights,min_weight,max_weight,top1_mass,top2_mass,tail_mass_excluding_top1,hhi,effective_n_inverse_hhi,entropy,entropy_effective_n,normalized_entropy,low_weight_threshold,concentration_threshold,low_weight_count,extra_weight_mass_beyond_k4,max_extra_level_weight,n_extra_levels_under_threshold,concentration_status
1,0,[1.0],1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.000088900581841e-12,0.9999999999989999,-1.4428232973175177e-12,0.35,0.78,0,0.0,0.0,0,top_heavy
2,0,"[0.5347509661465307, 0.4652490338534693]",0.4652490338534693,0.5347509661465307,0.5347509661465307,1.0,0.4652490338534693,0.5024152592962347,1.9903854062887427,0.6907299730023064,1.9951714230721147,0.9965127066437951,0.175,0.78,0,0.0,0.0,0,balanced
3,0,"[0.25907012434199267, 0.5093622131740717, 0.23156766248393562]",0.23156766248393562,0.5093622131740717,0.5093622131740717,0.7684323375160644,0.4906377868259283,0.38019077584443794,2.6302584479565816,1.0322848441380403,2.8074731506234154,0.9396261581868152,0.11666666666666665,0.8,0,0.0,0.0,0,balanced
4,0,"[0.3501995231971109, 0.4034870296976494, 0.09122548320312412, 0.15508796390211554]",0.09122548320312412,0.4034870296976494,0.4034870296976494,0.7536865528947603,0.5965129703023506,0.31781585451466304,3.146476130107169,1.241136260901769,3.459542174831442,0.8952905643352265,0.0875,0.85,0,0.0,0.0,0,balanced
5,0,"[0.18225646694348155, 0.46260906178016686, 0.12929643112586, 0.07778317878619527, 0.14805486136429633]",0.07778317878619527,0.46260906178016686,0.46260906178016686,0.6448655287236484,0.5373909382198332,0.2919125957614171,3.425682942497313,1.4128256226383606,4.10754539514587,0.8778379157861487,0.06999999999999999,0.88,0,0.14805486136429633,0.14805486136429633,0,balanced
6,0,"[0.13987184748339995, 0.48896994093872737, 0.11492876451621731, 0.06241472298470013, 0.06058606742502598, 0.13322865665192923]",0.06058606742502598,0.48896994093872737,0.48896994093872737,0.6288417884221273,0.5110300590612726,0.2971805019378304,3.3649583114614905,1.4851569706648822,4.415658487229609,0.8288818874247298,0.05833333333333333,0.9,0,0.1938147240769552,0.13322865665192923,0,balanced
7,0,"[0.09793602294981565, 0.5242549972331151, 0.10369545607624411, 0.05323252280177634, 0.05577035456040332, 0.057253496991600726, 0.10785714938704481]",0.05323252280177634,0.5242549972331151,0.5242549972331151,0.6321121466201599,0.4757450027668849,0.31604267584928186,3.1641296458231856,1.5221749965226357,4.5821805915940415,0.7822432075096635,0.049999999999999996,0.9142857142857143,0,0.22088100093904886,0.10785714938704481,0,balanced
8,0,"[0.073541797149615, 0.5417877395317872, 0.096118151425435, 0.04627410287950856, 0.05124729461038638, 0.04650654236594928, 0.06193365110506377, 0.08259072093225478]",0.04627410287950856,0.5417877395317872,0.5417877395317872,0.6379058909572222,0.45821226046821284,0.32576849027673793,3.069664592639108,1.5645221969395002,4.780390305018799,0.7523761382951077,0.04375,0.925,0,0.2422782090136542,0.08259072093225478,0,balanced
