channel,sample_count,energy_mean,energy_sd,energy_ci95_low,energy_ci95_high,weight_mean,weight_sd,weight_ci95_low,weight_ci95_high,gap_name,gap_mean_v,gap_sd_v,gap_ci95_low_v,gap_ci95_high_v
1,215,11.497609085260436,0.06142002196591126,11.323215866088868,11.610069084167481,0.31742748403271964,0.05678644530291302,0.1884940303862095,0.3938968643546105,,,,,
2,215,11.734655171771383,0.05211021748084808,11.606926536560058,11.823710346221924,0.4259932147902112,0.04273423311727454,0.3632414534687996,0.5094642102718353,,,,,
3,215,12.418944505203601,0.2336027908376787,11.910584831237793,12.693117904663087,0.10465361455152201,0.03544390743050584,0.0789637666195631,0.21524135917425158,,,,,
4,215,13.882519965948061,0.217740086811566,13.720024871826173,14.006595754623413,0.15192568620970082,0.014917194367635785,0.13087260499596595,0.1674575537443161,,,,,
,215,,,,,,,,,E2_minus_E1,0.23704608651094658,0.018965739074962892,0.1967928409576416,0.2831900119781494
