analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius
seed_jitter,original,2,9,1,11.550021171569824,0.5295637845993042,0.0804354839026928,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L02/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,2,9,2,11.813064575195312,0.4704362452030182,0.0804354839026928,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L02/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,3,0,1,11.437795639038086,0.2652741074562073,0.08123374506831169,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,3,0,2,11.680164337158203,0.5002977252006531,0.08123374506831169,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,3,0,3,11.914362907409668,0.23442812263965607,0.08123374506831169,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,3,1,1,11.437738418579102,0.26491037011146545,0.08119530379772186,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,3,1,2,11.680572509765625,0.4992068409919739,0.08119530379772186,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,3,1,3,11.914384841918945,0.2358827292919159,0.08119530379772186,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,3,2,1,11.437674522399902,0.26605913043022156,0.0812129758298397,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,3,2,2,11.680519104003906,0.4989925026893616,0.0812129758298397,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,3,2,3,11.914365768432617,0.2349483221769333,0.0812129758298397,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,3,3,1,11.437691688537598,0.2652030885219574,0.08119943216443062,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,3,3,2,11.680097579956055,0.4991275370121002,0.08119943216443062,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,3,3,3,11.9136323928833,0.23566934466362,0.08119943216443062,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,3,4,1,11.437768936157227,0.26561257243156433,0.08121527656912804,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,3,4,2,11.680200576782227,0.49881115555763245,0.08121527656912804,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,3,4,3,11.913530349731445,0.235576331615448,0.08121527656912804,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,3,5,1,11.437779426574707,0.2654859125614166,0.08122171834111214,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,3,5,2,11.680283546447754,0.4988081455230713,0.08122171834111214,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,3,5,3,11.913496971130371,0.2357059270143509,0.08122171834111214,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,3,6,1,11.437756538391113,0.2651797831058502,0.08125461265444756,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,3,6,2,11.679678916931152,0.4990018904209137,0.08125461265444756,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,3,6,3,11.912968635559082,0.2358182668685913,0.08125461265444756,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,3,7,1,11.437821388244629,0.26645132899284363,0.08124249577522277,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,3,7,2,11.680092811584473,0.49848663806915283,0.08124249577522277,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,3,7,3,11.9147310256958,0.23506200313568115,0.08124249577522277,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,3,8,1,11.437812805175781,0.26555347442626953,0.08121530190110207,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_008/full/scorecard.json,4,,
seed_jitter,original,3,8,2,11.680142402648926,0.498515784740448,0.08121530190110207,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_008/full/scorecard.json,4,,
seed_jitter,original,3,8,3,11.913405418395996,0.23593077063560486,0.08121530190110207,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_008/full/scorecard.json,4,,
seed_jitter,original,3,9,1,11.437965393066406,0.2651751935482025,0.08120570480823516,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,3,9,2,11.680142402648926,0.4991236925125122,0.08120570480823516,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,3,9,3,11.91348934173584,0.23570109903812408,0.08120570480823516,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L03/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,4,0,1,11.500208854675293,0.35777148604393005,0.07728455364704132,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,4,0,2,11.739882469177246,0.39830535650253296,0.07728455364704132,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,4,0,3,12.597521781921387,0.08605432510375977,0.07728455364704132,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,4,0,4,13.972207069396973,0.1578688770532608,0.07728455364704132,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,,
seed_jitter,original,4,1,1,11.499823570251465,0.3580983877182007,0.07738134115934373,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,4,1,2,11.739388465881348,0.3970112204551697,0.07738134115934373,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,4,1,3,12.592716217041016,0.08592246472835541,0.07738134115934373,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,4,1,4,13.9651517868042,0.1589680016040802,0.07738134115934373,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,,
seed_jitter,original,4,2,1,11.500218391418457,0.35630571842193604,0.0772846631705761,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,4,2,2,11.739982604980469,0.3990955650806427,0.0772846631705761,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,4,2,3,12.598819732666016,0.08658327162265778,0.0772846631705761,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,4,2,4,13.973686218261719,0.1580154448747635,0.0772846631705761,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,,
seed_jitter,original,4,3,1,11.500105857849121,0.35815924406051636,0.07732591703534127,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,4,3,2,11.739895820617676,0.39841628074645996,0.07732591703534127,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,4,3,3,12.595125198364258,0.0860007107257843,0.07732591703534127,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,4,3,4,13.963560104370117,0.1574237048625946,0.07732591703534127,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,4,4,1,11.500743865966797,0.35777848958969116,0.07732798084616661,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,4,4,2,11.739948272705078,0.3971204161643982,0.07732798084616661,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,4,4,3,12.594579696655273,0.08627248555421829,0.07732798084616661,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,4,4,4,13.967937469482422,0.15882855653762817,0.07732798084616661,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,4,5,1,11.500509262084961,0.3546716570854187,0.07724831998348236,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,4,5,2,11.739827156066895,0.40101358294487,0.07724831998348236,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,4,5,3,12.597591400146484,0.08613267540931702,0.07724831998348236,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,4,5,4,13.97208023071289,0.1581820547580719,0.07724831998348236,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,4,6,1,11.500797271728516,0.35679715871810913,0.07729164436459542,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,4,6,2,11.739025115966797,0.39955997467041016,0.07729164436459542,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,4,6,3,12.59471607208252,0.08645964413881302,0.07729164436459542,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,4,6,4,13.965421676635742,0.15718327462673187,0.07729164436459542,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,4,7,1,11.500360488891602,0.3573605716228485,0.07731679752469063,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,4,7,2,11.739230155944824,0.398824006319046,0.07731679752469063,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_007/full/scorecard.json,4,,
