anchor_channel,anchor_energy_v,anchor_weight,sample_count,energy_mean,energy_sd,energy_ci95_low,energy_ci95_high,energy_delta_mean_v,energy_delta_sd_v,energy_delta_ci95_low_v,energy_delta_ci95_high_v,weight_mean,weight_sd,weight_ci95_low,weight_ci95_high
1,11.500251770019531,0.3593961000442505,215,11.497609085260436,0.061420021965911266,11.323215866088868,11.610069084167481,-0.0026426847590956576,0.061420021965911266,-0.177035903930664,0.10981731414794922,0.31742748403271964,0.05678644530291302,0.1884940303862095,0.3938968643546105
2,11.739255905151367,0.3961048126220703,215,11.734655171771383,0.05211021748084808,11.606926536560058,11.823710346221924,-0.0046007333799850106,0.05211021748084808,-0.13232936859130856,0.08445444107055665,0.4259932147902112,0.04273423311727454,0.3632414534687996,0.5094642102718353
3,12.59369945526123,0.08622404932975769,215,12.418944505203601,0.23360279083767874,11.910584831237793,12.693117904663087,-0.17475495005762853,0.2336027908376787,-0.6831146240234375,0.09941844940185551,0.10465361455152201,0.03544390743050584,0.0789637666195631,0.21524135917425158
4,13.96471881866455,0.15827499330043793,215,13.882519965948061,0.217740086811566,13.720024871826173,14.006595754623413,-0.08219885271649029,0.217740086811566,-0.2446939468383789,0.04187693595886231,0.15192568620970082,0.014917194367635788,0.13087260499596595,0.1674575537443161
