analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius,anchor_channel,anchor_energy_v,anchor_weight,matched_channel,energy_delta_v,matching_method
noise_perturbation,replicate_001,4,1,4,13.912925720214844,0.16413170099258423,0.08296986669301987,output/sensitivity/uncertainty/noise_perturbation/replicate_001/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,1.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.05179309844970703,minimum_total_absolute_energy_delta
noise_perturbation,replicate_001,4,2,1,11.499802589416504,0.36125099658966064,0.0829925775527954,output/sensitivity/uncertainty/noise_perturbation/replicate_001/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,1.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.00044918060302734375,minimum_total_absolute_energy_delta
noise_perturbation,replicate_001,4,2,2,11.732203483581543,0.3927685022354126,0.0829925775527954,output/sensitivity/uncertainty/noise_perturbation/replicate_001/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,1.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.007052421569824219,minimum_total_absolute_energy_delta
noise_perturbation,replicate_001,4,2,3,12.5130033493042,0.08167881518602371,0.0829925775527954,output/sensitivity/uncertainty/noise_perturbation/replicate_001/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,1.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.08069610595703125,minimum_total_absolute_energy_delta
noise_perturbation,replicate_001,4,2,4,13.915705680847168,0.16430172324180603,0.0829925775527954,output/sensitivity/uncertainty/noise_perturbation/replicate_001/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,1.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.04901313781738281,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,0,1,11.4849271774292,0.3201274871826172,0.08427502661943435,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,2.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.015324592590332031,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,0,2,11.72984504699707,0.42688891291618347,0.08427502661943435,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,2.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.009410858154296875,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,0,3,12.604329109191895,0.09049997478723526,0.08427502661943435,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,2.0,nan,3,12.59369945526123,0.08622404932975769,3,0.010629653930664062,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,0,4,13.990947723388672,0.1624836027622223,0.08427502661943435,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,2.0,nan,4,13.96471881866455,0.15827499330043793,4,0.026228904724121094,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,1,1,11.485539436340332,0.3200865685939789,0.08419015407562255,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,2.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.014712333679199219,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,1,2,11.729689598083496,0.42730334401130676,0.08419015407562255,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,2.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.009566307067871094,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,1,3,12.604217529296875,0.09012336283922195,0.08419015407562255,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,2.0,nan,3,12.59369945526123,0.08622404932975769,3,0.010518074035644531,minimum_total_absolute_energy_delta
