k,n_channels,energy_min_v,energy_max_v,energy_span_v,dominant_channel,dominant_energy_v,dominant_weight,effective_channel_count_entropy,channels_weight_ge_0p10
1,1,11.656540870666504,11.656540870666504,0.0,1,11.656540870666504,1.0,0.9999999999989999,1
2,2,11.54991340637207,11.812955856323242,0.2630424499511719,1,11.54991340637207,0.5313080549240112,1.9960804735004696,2
3,3,11.43773078918457,11.913692474365234,0.47596168518066406,2,11.680306434631348,0.4987073540687561,2.828429648929875,3
4,4,11.500251770019531,13.96471881866455,2.4644670486450195,2,11.739255905151367,0.3961048126220703,3.4476406198246976,3
5,5,11.421494483947754,14.004013061523438,2.5825185775756836,2,11.657149314880371,0.46945464611053467,4.05560047423227,4
6,6,11.423484802246094,14.115854263305664,2.6923694610595703,2,11.667083740234375,0.4932956397533417,4.368500566794264,4
7,7,11.400716781616211,14.242087364196777,2.8413705825805664,2,11.658822059631348,0.5249727368354797,4.568210580296089,4
8,8,11.372969627380371,14.378629684448242,3.005660057067871,2,11.657491683959961,0.5448145270347595,4.747341147591014,1
