n_levels,seed,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,contrast_error_mean,flatline_guard_pass
1,0,40,0.0610936997340717,0.0498996004418289,0.0543626216039079,0.9625,0.058382511883974,0.0253971345722675,True
1,1,40,0.0610936997340717,0.0498996004418289,0.0543626216039079,0.9625,0.058382511883974,0.0253971345722675,True
1,2,40,0.0610936997340717,0.0498996004418289,0.0543626216039079,0.9625,0.058382511883974,0.0253971345722675,True
2,0,40,0.0607953348435668,0.0483741738692026,0.0493155645575095,0.9625,0.0588842943310737,0.0466959774494171,True
2,1,40,0.0607953348435668,0.0483741738692026,0.0493155645575095,0.9625,0.0588842943310737,0.0466959774494171,True
2,2,40,0.0607953348435668,0.0483741738692026,0.0493155645575095,0.9625,0.0588842943310737,0.0466959774494171,True
3,0,40,0.061837726606511,0.0478604626226144,0.0459148902043666,0.9625,0.0597980603575706,0.0412366442382335,True
3,1,40,0.061837726606511,0.0478604626226144,0.0459148902043666,0.9625,0.0597980603575706,0.0412366442382335,True
3,2,40,0.061837726606511,0.0478604626226144,0.0459148902043666,0.9625,0.0597980603575706,0.0412366442382335,True
4,0,40,0.0496801688433689,0.0366158468047255,0.037315866202388,0.6375,0.0471317000687122,0.0469065431505441,True
4,1,40,0.0496801688433689,0.0366158468047255,0.037315866202388,0.6375,0.0471317000687122,0.0469065431505441,True
4,2,40,0.0496801688433689,0.0366158468047255,0.037315866202388,0.6375,0.0471317000687122,0.0469065431505441,True
5,0,40,0.0509901848360357,0.0374422307440115,0.0373633095657933,0.6375,0.0465536348521709,0.0392337299883365,True
5,1,40,0.0509901848360357,0.0374422307440115,0.0373633095657933,0.6375,0.0465536348521709,0.0392337299883365,True
5,2,40,0.0509901848360357,0.0374422307440115,0.0373633095657933,0.6375,0.0465536348521709,0.0392337299883365,True
6,0,40,0.050425307794878,0.0365341562089005,0.0367204293276125,0.6375,0.0466238088905811,0.0369970083236694,True
6,1,40,0.050425307794878,0.0365341562089005,0.0367204293276125,0.6375,0.0466238088905811,0.0369970083236694,True
6,2,40,0.050425307794878,0.0365341562089005,0.0367204293276125,0.6375,0.0466238088905811,0.0369970083236694,True
7,0,40,0.0501293141004504,0.0361899204556432,0.0368720682972683,0.6375,0.0460994735360145,0.0402432575821876,True
7,1,40,0.0501293141004504,0.0361899204556432,0.0368720682972683,0.6375,0.0460994735360145,0.0402432575821876,True
7,2,40,0.0501293141004504,0.0361899204556432,0.0368720682972683,0.6375,0.0460994735360145,0.0402432575821876,True
8,0,40,0.0495957342028025,0.0358018072246164,0.036422734599649,0.6375,0.0459738135337829,0.0421176124364137,True
8,1,40,0.0495957342028025,0.0358018072246164,0.036422734599649,0.6375,0.0459738135337829,0.0421176124364137,True
8,2,40,0.0495957342028025,0.0358018072246164,0.036422734599649,0.6375,0.0459738135337829,0.0421176124364137,True
