curve_id,vr,n_points,va_min,va_max,current_min_uA,current_max_uA,current_range_uA,peak_count,valley_count,late_current_range_uA
1,0.0,161,0.0,80.0,0.0,2.8450000286102295,2.8450000286102295,4,3,0.6150000095367432
2,4.0,161,0.0,80.0,0.0,2.609999895095825,2.609999895095825,4,4,1.0489999055862427
3,6.0,161,0.0,80.0,0.0,2.499000072479248,2.499000072479248,5,4,1.439000129699707
4,8.0,161,0.0,80.0,0.0,2.2760000228881836,2.2760000228881836,4,4,1.5730000138282776
5,10.0,161,0.0,80.0,0.0,1.9759999513626099,1.9759999513626099,4,4,1.5959999561309814
