analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,prior_strength
prior_strength,prior_0x,3,4,2,11.677069664001465,0.49821481108665466,0.08124998733401298,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L03/seeds/seed_004/full/scorecard.json,0.0
prior_strength,prior_0x,3,4,3,11.909916877746582,0.23716233670711517,0.08124998733401298,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L03/seeds/seed_004/full/scorecard.json,0.0
prior_strength,prior_0x,4,0,1,11.553369522094727,0.3058685064315796,0.07926179245114326,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,4,0,2,11.768088340759277,0.4661543071269989,0.07926179245114326,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,4,0,3,12.791358947753906,0.08953282237052917,0.07926179245114326,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,4,0,4,14.10472583770752,0.13844434916973114,0.07926179245114326,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,4,1,1,11.554756164550781,0.30434301495552063,0.07921100705862046,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,4,1,2,11.770265579223633,0.46819356083869934,0.07921100705862046,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,4,1,3,12.812196731567383,0.0897565707564354,0.07921100705862046,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,4,1,4,14.111000061035156,0.13770681619644165,0.07921100705862046,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,4,2,1,11.55434799194336,0.30412063002586365,0.07925060242414475,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,4,2,2,11.769375801086426,0.4677339792251587,0.07925060242414475,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,4,2,3,12.807757377624512,0.09001588821411133,0.07925060242414475,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,4,2,4,14.10926342010498,0.13812945783138275,0.07925060242414475,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,4,3,1,11.550613403320312,0.3035133183002472,0.07933444678783416,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,4,3,2,11.767292022705078,0.4667419195175171,0.07933444678783416,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,4,3,3,12.820301055908203,0.09089846909046173,0.07933444678783416,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,4,3,4,14.107810020446777,0.1388462781906128,0.07933444678783416,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,4,4,1,11.585853576660156,0.4547129273414612,0.07727806642651558,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,0.0
prior_strength,prior_0x,4,4,2,11.826556205749512,0.3006463646888733,0.07727806642651558,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,0.0
prior_strength,prior_0x,4,4,3,12.916118621826172,0.1015487015247345,0.07727806642651558,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,0.0
prior_strength,prior_0x,4,4,4,14.144803047180176,0.14309193193912506,0.07727806642651558,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L04/seeds/seed_004/full/scorecard.json,0.0
prior_strength,prior_0x,5,0,1,11.466584205627441,0.1962224692106247,0.07764573767781258,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,5,0,2,11.690299987792969,0.4632725715637207,0.07764573767781258,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,5,0,3,12.032577514648438,0.11757799983024597,0.07764573767781258,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,5,0,4,12.95513916015625,0.08106108754873276,0.07764573767781258,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,5,0,5,14.104686737060547,0.14186589419841766,0.07764573767781258,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,0.0
prior_strength,prior_0x,5,1,1,11.467865943908691,0.19878633320331573,0.07769025415182114,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,5,1,2,11.690020561218262,0.4607417583465576,0.07769025415182114,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,5,1,3,12.032668113708496,0.11708527058362961,0.07769025415182114,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,5,1,4,12.95450496673584,0.0811082199215889,0.07769025415182114,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,5,1,5,14.103275299072266,0.14227844774723053,0.07769025415182114,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_001/full/scorecard.json,0.0
prior_strength,prior_0x,5,2,1,11.46960735321045,0.19916585087776184,0.0776629664003849,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,5,2,2,11.690898895263672,0.46017593145370483,0.0776629664003849,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,5,2,3,12.034281730651855,0.11714416742324829,0.0776629664003849,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,5,2,4,12.955028533935547,0.08130405098199844,0.0776629664003849,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,5,2,5,14.10463809967041,0.14220991730690002,0.0776629664003849,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_002/full/scorecard.json,0.0
prior_strength,prior_0x,5,3,1,11.469427108764648,0.1991274654865265,0.07770121470093727,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,5,3,2,11.690858840942383,0.46027567982673645,0.07770121470093727,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,5,3,3,12.033750534057617,0.11712221801280975,0.07770121470093727,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,5,3,4,12.955408096313477,0.08133970946073532,0.07770121470093727,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,0.0
prior_strength,prior_0x,5,3,5,14.104137420654297,0.14213496446609497,0.07770121470093727,output/sensitivity/prior_strength/prior_0x/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,0.0
