n_levels,seed,rmse_mean,mae_mean,d1_rmse_mean,d2_rmse_mean,aic,bic,structure_score,vr_physical_response_score,vr_late_bias_pass,high_vr_valley_depth_pass,flatline_guard_pass,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,structure_segment_count,n_params,sse_total,n_points,energy_cluster_status,cluster_count,effective_distinct_level_count,channel_degeneracy_status,channel_degeneracy_reasons,scorecard_path,V_exc,V_exc_weighted,effective_excitation_mean,effective_excitation_std,damping,osc_amp,phase,forward_reverse_status,level_energy_01,seed_count,rmse_seed_mean,rmse_seed_std,rmse_seed_iqr,cv_rmse_mean,level_energy_02,level_energy_03,level_energy_04,level_energy_05,level_energy_06,level_energy_07,level_energy_08
1,0,0.05684455204755068,0.04371027462184429,0.029199350625276566,0.030122282914817333,-3574.6564057604805,-3413.8192516207237,0.03914093206240317,0.2521160487237015,True,True,True,0.03594444472112002,0.025817710937533603,0.030735812376489334,33,36,2.2371187806129456,644,separated,0,1,degenerate,['top_heavy'],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L01/seeds/seed_000/full/scorecard.json,11.652615547180176,11.652615547180176,11.652615547180176,0.0,0.004090408328920603,0.4675496220588684,-1.8666110038757324,consistent,11.652615547180176,3,0.05684455204755068,0.0,0.0,0.05684455204755068,,,,,,,
2,0,0.05761238466948271,0.044368477538228035,0.0294608473777771,0.028424959164112806,-3553.5863017447296,-3383.813750152764,0.03954330443674154,0.27597332872995517,True,True,True,0.036486726269643555,0.025284040059497036,0.026408708057414226,33,38,2.2972095608711243,644,separated,0,2,balanced,[],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L02/seeds/seed_000/full/scorecard.json,11.551082611083984,11.657976968596131,11.657976968596131,0.10696742421617887,0.003755558282136917,0.4730132818222046,-1.8439216613769531,consistent,11.551082611083984,3,0.05761238466948271,0.0,0.0,0.05761238466948271,11.76501750946045,,,,,,
3,0,0.05855986848473549,0.04508923087269068,0.030020464211702347,0.028538059908896685,-3530.564643370986,-3351.8566943268115,0.04041739797739092,0.3053436822038356,True,True,True,0.03732541112170503,0.025653300727817765,0.026332839145205664,33,40,2.36607363820076,644,separated,0,3,balanced,[],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L03/seeds/seed_000/full/scorecard.json,11.48238754272461,11.668463648840486,11.668463648840486,0.1521433182209729,0.0034337895922362804,0.4787540137767792,-1.803724765777588,consistent,11.48238754272461,3,0.05855986848473549,0.0,0.0,0.05855986848473549,11.678563117980957,11.924007415771484,,,,,
4,0,0.05901890806853771,0.045339553616940975,0.029683454427868128,0.028156980872154236,-3517.9362281145754,-3330.2928816181925,0.04059006096831878,0.27919373982320955,True,True,True,0.03755704328986677,0.02517293900859177,0.025786188879641694,33,42,2.3979879915714264,644,separated,0,4,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,11.445185661315918,11.69174145542405,11.69174145542405,0.19077615023757363,0.00322741293348372,0.48514294624328613,-1.7408418655395508,consistent,11.445185661315918,3,0.05901890806853771,0.0,0.0,0.05901890806853771,11.648378372192383,11.838778495788574,12.259748458862305,,,,
5,0,0.056799283251166344,0.040627853479236364,0.028925866819918156,0.028026625514030457,-3558.374014590698,-3361.7952706421065,0.03549364278076932,0.1525806423609819,True,True,True,0.03272297320137578,0.022500350296482893,0.02603172748726286,33,44,2.2380999624729156,644,separated,0,5,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L05/seeds/seed_000/full/scorecard.json,11.487987518310547,12.015703891443312,12.015703891443312,0.8411781822236206,0.004378763027489185,0.5829238295555115,-2.073380470275879,consistent,11.487987518310547,3,0.056799283251166344,0.0,0.0,0.056799283251166344,11.700017929077148,12.173867225646973,13.032179832458496,14.065285682678223,,,
6,0,0.05674401856958866,0.04031399358063936,0.028608345426619053,0.027865083422511816,-3555.9435077014423,-3350.429366300642,0.03475133458073935,0.19157786921757022,True,True,True,0.0320243739413614,0.021976805864355152,0.02646400264712135,33,46,2.2326521277427673,644,separated,0,6,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L06/seeds/seed_000/full/scorecard.json,11.409990310668945,12.02939132876509,12.02939132876509,0.870674200333534,0.004262304864823818,0.5881308913230896,-2.107689142227173,consistent,11.409990310668945,3,0.05674401856958866,0.0,0.0,0.05674401856958866,11.622891426086426,11.921884536743164,12.453970909118652,13.364876747131348,14.166234970092773,,
7,0,0.05680923070758581,0.04023939650505781,0.028484621550887823,0.027849139645695686,-3551.013674211431,-3336.564135358422,0.03471880301115342,0.20738890137129684,True,True,True,0.031981103177112606,0.021965343315783144,0.027058275123124895,33,48,2.235878050327301,644,separated,0,7,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L07/seeds/seed_000/full/scorecard.json,11.371926307678223,12.060931136796817,12.060931136796817,0.8970237396108285,0.004213293083012104,0.5927726030349731,-2.076320171356201,consistent,11.371926307678223,3,0.05680923070758581,0.0,0.0,0.05680923070758581,11.609274864196777,11.884220123291016,12.339062690734863,12.963427543640137,13.660707473754883,14.299388885498047,
8,0,0.05681383889168501,0.040313167963176966,0.028338163159787655,0.027691814117133617,-3548.03375008144,-3324.648813776222,0.03460894786059758,0.2119512577367023,True,True,True,0.031864826468994245,0.021966902539801835,0.02737155688115735,33,50,2.2323392927646637,644,separated,0,8,degenerate,['low_weight'],output/robustness/leave_one_vr_out/vr_0p0/fullscan/levels/L08/seeds/seed_000/full/scorecard.json,11.328824043273926,12.076264870363065,12.076264870363065,0.9157473480242876,0.00417542178183794,0.5944393873214722,-2.0673041343688965,consistent,11.328824043273926,3,0.05681383889168501,0.0,0.0,0.05681383889168501,11.600764274597168,11.865398406982422,12.262911796569824,12.76193618774414,13.353550910949707,13.882232666015625,14.419876098632812

