n_levels,seed,curve_id,curve_idx,vr_class,kind,ordinal,center_va,segment_rmse,segment_d1_rmse,segment_d2_rmse,extremum_position_error,extremum_amplitude_error,contrast_error
1,0,2,0,4.0,peak,1,42.5,0.02645309465902156,0.024657424267521346,0.013472301644698405,-0.5,-0.001525282859802246,0.0667097195982933
1,0,2,0,4.0,peak,2,53.5,0.020845023201481513,0.011793268902315246,0.025760862240409747,0.0,0.02089250087738037,0.0667097195982933
1,0,2,0,4.0,peak,3,65.0,0.029964445341665327,0.017938619199750427,0.03190401862844158,0.0,0.036704063415527344,0.0667097195982933
1,0,2,0,4.0,peak,4,77.0,0.03589322216077768,0.028870753657605688,0.030852132249881894,-0.5,0.03444480895996094,0.0667097195982933
1,0,2,0,4.0,valley,1,35.5,0.10131921790447829,0.04314175100071892,0.03260566152529333,-0.5,-0.11241358518600464,0.0667097195982933
1,0,2,0,4.0,valley,2,46.5,0.04098620084956134,0.008181533916532245,0.012538095680888721,0.0,-0.042327046394348145,0.0667097195982933
1,0,2,0,4.0,valley,3,58.0,0.02686159837144385,0.03629350416648992,0.03409670313235086,0.5,0.013054966926574707,0.0667097195982933
1,0,2,0,4.0,valley,4,69.5,0.034252147704507886,0.03764191645757216,0.03446337224865687,0.5,0.0058051347732543945,0.0667097195982933
1,0,3,1,6.0,peak,1,32.5,0.042474375633922694,0.03772752598894909,0.015374251059326407,10.5,-0.014943838119506836,0.019999971613287926
1,0,3,1,6.0,peak,2,43.0,0.020856122994223857,0.019180271050749466,0.020053962903202976,0.0,-0.005364060401916504,0.019999971613287926
1,0,3,1,6.0,peak,3,54.0,0.008214980588304282,0.01061345613679807,0.023271608491073265,0.5,-0.0025066137313842773,0.019999971613287926
1,0,3,1,6.0,peak,4,66.0,0.010628558761798832,0.016705992698241436,0.04175692981406063,0.0,-0.009927034378051758,0.019999971613287926
1,0,3,1,6.0,peak,5,77.5,0.028120034574772027,0.031865762097953915,0.04597385629632907,0.0,0.006198883056640625,0.019999971613287926
1,0,3,1,6.0,valley,1,36.5,0.07119767741508554,0.04475156756777753,0.04018913573696603,-0.5,-0.07341140508651733,0.019999971613287926
1,0,3,1,6.0,valley,2,47.5,0.02377398253178475,0.0244661135885871,0.036336240396200974,0.0,0.022928714752197266,0.019999971613287926
1,0,3,1,6.0,valley,3,59.0,0.060256780904451045,0.04374662839832975,0.03961701522963789,0.5,0.08133482933044434,0.019999971613287926
1,0,3,1,6.0,valley,4,71.0,0.0426843793234158,0.03649613469762281,0.048677707959624346,0.0,0.04593944549560547,0.019999971613287926
1,0,4,2,8.0,peak,1,33.0,0.030838603801375722,0.031008559007291804,0.012547839786093118,10.5,0.008710682392120361,0.013377666473388672
1,0,4,2,8.0,peak,2,43.5,0.02176940603401251,0.011063876097478175,0.023858116734303374,0.0,0.01666128635406494,0.013377666473388672
1,0,4,2,8.0,peak,3,55.0,0.008992084626614083,0.01790299277029745,0.03848791892711531,0.0,-0.003959536552429199,0.013377666473388672
1,0,4,2,8.0,peak,4,66.5,0.0287266840448239,0.01141927771187167,0.024884420520183862,0.0,-0.022545576095581055,0.013377666473388672
1,0,4,2,8.0,valley,1,37.0,0.05235091293535097,0.033484453045120835,0.026417295726822346,-0.5,-0.05627015233039856,0.013377666473388672
1,0,4,2,8.0,valley,2,48.5,0.031237708465886724,0.027838194084771537,0.056697587377821566,0.0,0.05126965045928955,0.013377666473388672
1,0,4,2,8.0,valley,3,60.0,0.061162825606746594,0.04961889528924344,0.07625982796441635,0.0,0.07485812902450562,0.013377666473388672
1,0,4,2,8.0,valley,4,72.0,0.03136289410100343,0.023213740019749542,0.042703237525458286,0.0,0.045250773429870605,0.013377666473388672
1,0,5,3,10.0,peak,1,34.0,0.06433870818593734,0.035675854543247246,0.00989456652355432,-1.0,0.059839606285095215,0.042382121086120605
1,0,5,3,10.0,peak,2,44.5,0.05326382549252956,0.010286985480872283,0.027473456956767096,0.0,0.04898744821548462,0.042382121086120605
1,0,5,3,10.0,peak,3,56.0,0.01624028244428061,0.014927114672092375,0.027944912432959348,0.0,0.010302543640136719,0.042382121086120605
1,0,5,3,10.0,peak,4,67.5,0.027982509440784186,0.014098103518001642,0.03632540782757619,0.0,-0.024883389472961426,0.042382121086120605
1,0,5,3,10.0,valley,1,38.5,0.04365036853996639,0.0429478191281774,0.03370302853585419,-0.5,-0.027932852506637573,0.042382121086120605
1,0,5,3,10.0,valley,2,50.0,0.04937421667884401,0.018712709613337913,0.022599935833754935,-0.5,0.05275768041610718,0.042382121086120605
1,0,5,3,10.0,valley,3,61.5,0.014318159181940992,0.011832933648397992,0.011481965233341013,0.0,0.013729184865951538,0.042382121086120605
1,0,5,3,10.0,valley,4,73.0,0.025775643296167147,0.023880728515142308,0.016058435281083815,0.0,0.008229613304138184,0.042382121086120605
