epoch,loss_total,loss_monitor,loss_raw,loss_d1,loss_d2,loss_peak_window,loss_smooth,loss_vr_late_bias,loss_vr_amplitude_ratio,loss_high_vr_valley_depth,loss_reg,best_epoch,early_stop_wait,early_stop
1,0.7144578099250793,1.3025541305541992,0.5345011353492737,0.012139424681663513,0.0047120568342506886,0.6012771725654602,2.5676214136183262e-05,1.119166612625122,2.058570146560669,0.02290281467139721,0.0027908890042454004,1,0,False
10,0.6530179977416992,1.1904340982437134,0.48847517371177673,0.011840383522212505,0.004629094619303942,0.5502060651779175,2.8467135052778758e-05,1.0206438302993774,1.8639739751815796,0.0295769814401865,0.002800729125738144,10,0,False
20,0.5883930325508118,1.0724281072616577,0.44013532996177673,0.011518726125359535,0.004551556892693043,0.49661463499069214,3.2043244573287666e-05,0.9173471331596375,1.6544246673583984,0.038173578679561615,0.0028152845334261656,20,0,False
30,0.5279704332351685,0.9614210724830627,0.3952775001525879,0.011212723329663277,0.0044833580031991005,0.4468788206577301,3.564346843631938e-05,0.8216263651847839,1.4460433721542358,0.047748543322086334,0.002832568483427167,30,0,False
40,0.47262850403785706,0.8596370816230774,0.3542696535587311,0.010927563533186913,0.004418711178004742,0.40135741233825684,3.9230948459589854e-05,0.7341404557228088,1.2508080005645752,0.05793260410428047,0.0028506519738584757,40,0,False
50,0.42282864451408386,0.7684343457221985,0.31721362471580505,0.010662611573934555,0.00435723178088665,0.3601350784301758,4.3237170757493004e-05,0.6549823880195618,1.0780061483383179,0.06836730986833572,0.0028687994927167892,50,0,False
60,0.3785635232925415,0.6878669261932373,0.28405919671058655,0.010418777354061604,0.004304108209908009,0.32315340638160706,4.811353574041277e-05,0.5839126706123352,0.9295307397842407,0.07872174680233002,0.0028879765886813402,60,0,False
70,0.3396610915660858,0.6176289319992065,0.2546648383140564,0.010199712589383125,0.0042671277187764645,0.2902718782424927,5.415189662016928e-05,0.520511269569397,0.8055370450019836,0.08883622288703918,0.00290877278894186,70,0,False
80,0.3061007857322693,0.5580945611000061,0.22883085906505585,0.01000900100916624,0.004253326449543238,0.261297345161438,6.150691478978842e-05,0.46428292989730835,0.7112747430801392,0.09878899157047272,0.0029307743534445763,80,0,False
90,0.27734965085983276,0.5079642534255981,0.20630690455436707,0.009845427237451077,0.0042655556462705135,0.2359815537929535,7.022792851785198e-05,0.4147021174430847,0.6406366229057312,0.10863599926233292,0.0029530320316553116,90,0,False
100,0.25272902846336365,0.46553874015808105,0.18679235875606537,0.009702449664473534,0.00430199084803462,0.21400614082813263,8.034577331272885e-05,0.3712318539619446,0.5855485796928406,0.118255615234375,0.0029750638641417027,100,0,False
110,0.23162339627742767,0.4293743073940277,0.16996891796588898,0.00957238208502531,0.004358627833425999,0.1950203776359558,9.185943054035306e-05,0.33333465456962585,0.5402140617370605,0.12739251554012299,0.0029968139715492725,110,0,False
120,0.2134992480278015,0.39831462502479553,0.15551628172397614,0.0094484593719244,0.004430708941072226,0.1786651313304901,0.00010471338464412838,0.3004680275917053,0.5010441541671753,0.13572943210601807,0.003018417162820697,120,0,False
130,0.197882279753685,0.37140193581581116,0.14311732351779938,0.009325233288109303,0.004513115156441927,0.1645822823047638,0.00011877607175847515,0.2720798850059509,0.4658607542514801,0.14294710755348206,0.0030400718096643686,130,0,False
140,0.18416807055473328,0.34719592332839966,0.1324605494737625,0.009197057224810123,0.004602411296218634,0.1523926854133606,0.00013401839532889426,0.24766919016838074,0.4294939935207367,0.1484346240758896,0.0030628973618149757,140,0,False
150,0.1721808761358261,0.3257141709327698,0.12326067686080933,0.009063388220965862,0.004695936106145382,0.14178112149238586,0.00015025977336335927,0.2266741693019867,0.3961106836795807,0.152033269405365,0.0030871075578033924,150,0,False
160,0.16162022948265076,0.3064943850040436,0.1152573972940445,0.00892322976142168,0.00478771235793829,0.13247907161712646,0.00016710485215298831,0.20853757858276367,0.36559930443763733,0.15388686954975128,0.003112297272309661,160,0,False
170,0.15219804644584656,0.28905385732650757,0.10821735858917236,0.008773657493293285,0.004870570730417967,0.12423529475927353,0.00018412710051052272,0.19277815520763397,0.33748072385787964,0.15406402945518494,0.003138386644423008,170,0,False
180,0.14366765320301056,0.27297699451446533,0.10194134712219238,0.008611820638179779,0.004937922582030296,0.11683043092489243,0.00020090836915187538,0.17898321151733398,0.3113313615322113,0.15262606739997864,0.003165489062666893,180,0,False
190,0.13583189249038696,0.2579416334629059,0.09626595675945282,0.008435854688286781,0.004984891973435879,0.11008325964212418,0.00021708724671043456,0.16680216789245605,0.28688284754753113,0.1496637463569641,0.0031938296742737293,190,0,False
200,0.1285403072834015,0.24371369183063507,0.09106186777353287,0.008245053701102734,0.0050086709670722485,0.10385064035654068,0.00023238854191731662,0.15594148635864258,0.26398295164108276,0.14530996978282928,0.00322367693297565,200,0,False
210,0.12168178707361221,0.23012958467006683,0.08623025566339493,0.008039806969463825,0.005008482839912176,0.09802435338497162,0.0002466409932821989,0.1461590826511383,0.242518812417984,0.1397361010313034,0.0032552892807871103,210,0,False
220,0.11508388072252274,0.21671907603740692,0.08170491456985474,0.00782857183367014,0.004996588919311762,0.09250372648239136,0.0002600898442324251,0.1372940093278885,0.22043879330158234,0.13274896144866943,0.003290038090199232,220,0,False
230,0.10877086967229843,0.20366637408733368,0.07744432985782623,0.0076209730468690395,0.0049834223464131355,0.08724896609783173,0.00027289637364447117,0.1291837990283966,0.19922009110450745,0.12460453808307648,0.0033283201046288013,230,0,False
240,0.10280030965805054,0.19130630791187286,0.07340620458126068,0.007409912534058094,0.004955723881721497,0.08226362615823746,0.0002847060968633741,0.12164843082427979,0.18029408156871796,0.11616469919681549,0.003368495963513851,240,0,False
250,0.09713396430015564,0.17960971593856812,0.06954976916313171,0.007186251692473888,0.004903754685074091,0.07751573622226715,0.00029543679556809366,0.11457778513431549,0.16347377002239227,0.10773469507694244,0.0034097989555448294,250,0,False
260,0.09172249585390091,0.1684611439704895,0.06585029512643814,0.006946494337171316,0.004824802279472351,0.07297482341527939,0.00030507956398651004,0.10791101306676865,0.14817634224891663,0.09937991946935654,0.003452037926763296,260,0,False
270,0.08654776960611343,0.15781696140766144,0.06229909509420395,0.0066923899576067924,0.0047196089290082455,0.06862645596265793,0.0003135067818220705,0.10161320865154266,0.134170264005661,0.0911392942070961,0.003495211713016033,270,0,False
280,0.08162987232208252,0.14772988855838776,0.05890413373708725,0.0064344750717282295,0.004603315610438585,0.06447498500347137,0.00032121757976710796,0.09565907716751099,0.12165896594524384,0.08307301998138428,0.0035395799204707146,280,0,False
290,0.07696785777807236,0.13818463683128357,0.055671293288469315,0.00618034228682518,0.004481576383113861,0.060525160282850266,0.0003282313118688762,0.09002384543418884,0.1103675365447998,0.07525365799665451,0.0035851970314979553,290,0,False
300,0.07254578918218613,0.12913452088832855,0.05259798839688301,0.005931694991886616,0.004358292557299137,0.05677548795938492,0.00033470260677859187,0.08468567579984665,0.09987867623567581,0.06775550544261932,0.003631759202107787,300,0,False
310,0.06835886090993881,0.12058185040950775,0.04967731982469559,0.005685186944901943,0.004226560238748789,0.05322115868330002,0.0003402437432669103,0.07962887734174728,0.09018932282924652,0.060645151883363724,0.0036787723656743765,310,0,False
320,0.06442577391862869,0.1125819981098175,0.04691459611058235,0.00544709013774991,0.004095643293112516,0.049868009984493256,0.0003452654927968979,0.07483717054128647,0.08154679834842682,0.05397883802652359,0.0037261268589645624,320,0,False
