n_levels,seed,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,contrast_error_mean,flatline_guard_pass
1,0,40,0.06109369973407179,0.04989960044182895,0.0543626216039079,0.9625,0.05838251188397407,0.025397134572267534,True
1,1,40,0.06109369973407179,0.04989960044182895,0.0543626216039079,0.9625,0.05838251188397407,0.025397134572267534,True
1,2,40,0.06109369973407179,0.04989960044182895,0.0543626216039079,0.9625,0.05838251188397407,0.025397134572267534,True
2,0,40,0.060795334843566876,0.048374173869202654,0.049315564557509545,0.9625,0.05888429433107376,0.046695977449417114,True
2,1,40,0.060795334843566876,0.048374173869202654,0.049315564557509545,0.9625,0.05888429433107376,0.046695977449417114,True
2,2,40,0.060795334843566876,0.048374173869202654,0.049315564557509545,0.9625,0.05888429433107376,0.046695977449417114,True
3,0,40,0.061837726606511045,0.047860462622614466,0.04591489020436662,0.9625,0.05979806035757065,0.04123664423823357,True
3,1,40,0.061837726606511045,0.047860462622614466,0.04591489020436662,0.9625,0.05979806035757065,0.04123664423823357,True
3,2,40,0.061837726606511045,0.047860462622614466,0.04591489020436662,0.9625,0.05979806035757065,0.04123664423823357,True
4,0,40,0.049680168843368955,0.03661584680472558,0.037315866202388005,0.6375,0.047131700068712236,0.04690654315054417,True
4,1,40,0.049680168843368955,0.03661584680472558,0.037315866202388005,0.6375,0.047131700068712236,0.04690654315054417,True
4,2,40,0.049680168843368955,0.03661584680472558,0.037315866202388005,0.6375,0.047131700068712236,0.04690654315054417,True
5,0,40,0.05099018483603577,0.037442230744011505,0.03736330956579333,0.6375,0.04655363485217094,0.03923372998833656,True
5,1,40,0.05099018483603577,0.037442230744011505,0.03736330956579333,0.6375,0.04655363485217094,0.03923372998833656,True
5,2,40,0.05099018483603577,0.037442230744011505,0.03736330956579333,0.6375,0.04655363485217094,0.03923372998833656,True
6,0,40,0.05042530779487801,0.03653415620890059,0.03672042932761255,0.6375,0.04662380889058113,0.036997008323669436,True
6,1,40,0.05042530779487801,0.03653415620890059,0.03672042932761255,0.6375,0.04662380889058113,0.036997008323669436,True
6,2,40,0.05042530779487801,0.03653415620890059,0.03672042932761255,0.6375,0.04662380889058113,0.036997008323669436,True
7,0,40,0.050129314100450406,0.03618992045564321,0.036872068297268384,0.6375,0.046099473536014554,0.04024325758218765,True
7,1,40,0.050129314100450406,0.03618992045564321,0.036872068297268384,0.6375,0.046099473536014554,0.04024325758218765,True
7,2,40,0.050129314100450406,0.03618992045564321,0.036872068297268384,0.6375,0.046099473536014554,0.04024325758218765,True
8,0,40,0.049595734202802555,0.035801807224616435,0.036422734599649065,0.6375,0.04597381353378296,0.042117612436413765,True
8,1,40,0.049595734202802555,0.035801807224616435,0.036422734599649065,0.6375,0.04597381353378296,0.042117612436413765,True
8,2,40,0.049595734202802555,0.035801807224616435,0.036422734599649065,0.6375,0.04597381353378296,0.042117612436413765,True
