n_levels,forward_main_spacing,learned_effective_spacing,spacing_abs_delta,spacing_rel_delta,level_anchor_mean_abs_delta,forward_confidence,spacing_tolerance_rel,envelope_consistency_status,status,soft_constraint_only
1,11.5,11.656540870666504,0.1565408706665039,0.013612249623174253,0.1565408706665039,0.9475202202349895,0.2,compatible,consistent,True
2,11.5,11.673199987984276,0.17319998798427605,0.01506086852037183,0.05643463134765625,0.9475202202349895,0.2,compatible,consistent,True
3,11.5,11.670889811362713,0.17088981136271286,0.01485998359675764,0.07275676727294922,0.9475202202349895,0.2,compatible,consistent,True
4,11.5,12.079266936845741,0.579266936845741,0.050371037986586174,0.5798535346984863,0.9475202202349895,0.2,compatible,consistent,True
5,11.5,12.088947123994146,0.5889471239941457,0.05121279339079528,0.4499336242675781,0.9475202202349895,0.2,compatible,consistent,True
6,11.5,12.134398767880658,0.6343987678806577,0.05516511025049198,0.4350608189900716,0.9475202202349895,0.2,compatible,consistent,True
7,11.5,12.161360506080818,0.6613605060808183,0.05750960922441899,0.43502657754080637,0.9475202202349895,0.2,compatible,consistent,True
8,11.5,12.189008302717802,0.6890083027178022,0.059913765453721936,0.4059317111968994,0.9475202202349895,0.2,compatible,consistent,True
