n_levels,seed,curve_id,curve_idx,vr_class,kind,ordinal,center_va,segment_rmse,segment_d1_rmse,segment_d2_rmse,extremum_position_error,extremum_amplitude_error,contrast_error
1,0,1,0,0.0,peak,1,42.5,0.044062871026389325,0.02558998344228604,0.015237587433060128,-0.5,0.04337668418884277,0.050919562578201294
1,0,1,0,0.0,peak,2,53.0,0.07962785905934402,0.03664748881763,0.04410203312757419,0.5,0.0933375358581543,0.050919562578201294
1,0,1,0,0.0,peak,3,64.0,0.0893349211915008,0.05871452673240816,0.044062617805394465,1.0,0.0976264476776123,0.050919562578201294
1,0,1,0,0.0,peak,4,75.5,0.07027040334412803,0.06462600028463347,0.05629802677025903,1.0,0.05928206443786621,0.050919562578201294
1,0,1,0,0.0,valley,1,44.0,0.03564111526217138,0.04147732924246151,0.015978837191097793,1.5,-0.0017050504684448242,0.050919562578201294
1,0,1,0,0.0,valley,2,55.5,0.06822154532352781,0.06195668283210905,0.0362858724010374,2.0,0.07340693473815918,0.050919562578201294
1,0,1,0,0.0,valley,3,67.0,0.09079742769880182,0.07627841972243415,0.04353214870322901,2.5,0.09800362586975098,0.050919562578201294
1,0,2,1,4.0,peak,1,42.5,0.0507041370260405,0.040164352363657306,0.036134821283581885,-0.5,0.020205974578857422,0.05582890659570694
1,0,2,1,4.0,peak,2,53.5,0.047132035461749155,0.0329905032401588,0.06047542192004916,0.0,0.04950237274169922,0.05582890659570694
1,0,2,1,4.0,peak,3,65.0,0.036923783425548834,0.041472526853252714,0.07722188016166515,0.0,0.04720330238342285,0.05582890659570694
1,0,2,1,4.0,peak,4,77.0,0.04307486713709492,0.04759717145874966,0.07047236908030159,-0.5,0.0007696151733398438,0.05582890659570694
1,0,2,1,4.0,valley,1,35.5,0.07122050627158642,0.0366294161954124,0.024377959964541916,-1.0,-0.07011514902114868,0.05582890659570694
1,0,2,1,4.0,valley,2,46.5,0.027621523122492875,0.02801880088098847,0.027982448177300744,0.0,0.019159674644470215,0.05582890659570694
1,0,2,1,4.0,valley,3,58.0,0.06639668485577384,0.05465115106220102,0.0512238485614363,0.0,0.09228658676147461,0.05582890659570694
1,0,2,1,4.0,valley,4,69.5,0.05807358079562089,0.053964041137265474,0.05751776554471571,0.5,0.0832362174987793,0.05582890659570694
1,0,3,2,6.0,peak,1,32.5,0.05239852494557577,0.04730767507562581,0.02342628879319547,10.0,-0.014917135238647461,0.011857986450195312
1,0,3,2,6.0,peak,2,43.0,0.049007269999033105,0.03923162315209003,0.05482651269126879,-0.5,0.029942750930786133,0.011857986450195312
